Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	T.brucei RNA Seq data from George Cross - procyclic form - nonunique (Tb PCF BSF RSeq)	T.brucei RNA Seq data from George Cross - blood form - nonunique (Tb PCF BSF RSeq)	sense - PCF mRNA	sense - slBF mRNA	sense - cBF mRNA	sense - PF mRNA	sense - BF mRNA	
Tb927.4.5540	Tb927.4.5540:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,512,175..1,513,571(-)	variant surface glycoprotein (VSG, pseudogene), putative	0	0	0.02	0.11	0.03	0	0	
Tb927.4.5550	Tb927.4.5550:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,514,639..1,515,582(-)	variant surface glycoprotein, fragment, degenerate	0	0.24	0	1.09	0.03	0	0.59	
Tb927.4.5560	Tb927.4.5560:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:1,515,810..1,517,375(-)	variant surface glycoprotein (VSG), putative	0	0	0.15	8.7	1.65	0	0.12	
Tb927.4.5570	Tb927.4.5570:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,518,959..1,520,522(-)	variant surface glycoprotein, degenerate	0	0	0	184.89	0.37	0	0	
Tb927.4.5580	Tb927.4.5580:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:1,521,320..1,522,806(-)	variant surface glycoprotein (VSG, atypical), putative	0	0	0	0.24	0.07	0	0.12	
Tb927.4.5590	Tb927.4.5590:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,524,946..1,526,398(-)	variant surface glycoprotein, degenerate	0	0	0	0.05	0.01	0	0	
Tb927.4.560	Tb927.4.560:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:151,603..164,577(-)	Cytoplasmic dynein 2 heavy chain (DYNC2H1), putative	8.86	13.66	4.94	13.45	13.08	4.52	9.28	
Tb927.4.5600	Tb927.4.5600:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,527,695..1,529,229(-)	variant surface glycoprotein, degenerate	0	0	0	0.04	0.01	0	0	
Tb927.4.5610	Tb927.4.5610:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,532,086..1,533,755(-)	variant surface glycoprotein, degenerate	0	0	0	0.02	0	0	0	
Tb927.4.5620	Tb927.4.5620:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,535,780..1,537,334(-)	variant surface glycoprotein, degenerate	0	0	0.01	0.01	0	0	0	
Tb927.4.5630	Tb927.4.5630:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,540,313..1,540,702(-)	variant surface glycoprotein, fragment, degenerate	0	0	0	0	0	0	0	
Tb927.4.5640	Tb927.4.5640:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,541,469..1,543,349(-)	variant surface glycoprotein, point mutation	0	0	0	54.63	0.11	0	0	
Tb927.4.5650	Tb927.4.5650:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,545,164..1,546,715(-)	variant surface glycoprotein, degenerate	0	0	0	0	0	0	0	
Tb927.4.5660	Tb927.4.5660:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,547,066..1,548,172(-)	expression site-associated gene 3 (ESAG3), degenerate	0	0	0	0.01	0.1	0	0	
Tb927.4.5670	Tb927.4.5670:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,549,387..1,550,738(-)	variant surface glycoprotein, fragment	0.15	0.17	0.06	0.06	0.08	0	0.14	
Tb927.4.5680	Tb927.4.5680:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,556,996..1,558,722(-)	variant surface glycoprotein, degenerate	0	0	0	0	0	0	0	
Tb927.4.5690	Tb927.4.5690:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,561,085..1,563,140(-)	variant surface glycoprotein (VSG, pseudogene), putative	0	0	0	0	0	0	0	
Tb927.4.570	Tb927.4.570:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:165,137..166,905(-)	Replication factor-A C terminal domain containing protein, putative	7.87	8.18	3.36	7.12	7.39	2.7	9.32	
Tb927.4.5700	Tb927.4.5700:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:1,564,788..1,566,218(-)	variant surface glycoprotein (VSG, atypical), putative	0	0	0	2.35	0.01	0	0	
Tb927.4.5710	Tb927.4.5710:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,568,308..1,570,071(-)	variant surface glycoprotein, degenerate	0	0	0	0.04	0	0	0	
Tb927.4.5720	Tb927.4.5720:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,571,710..1,573,164(-)	variant surface glycoprotein, degenerate	0	0.08	0	0.08	0.04	0	0	
Tb927.4.5730	Tb927.4.5730:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,573,675..1,576,668(-)	variant surface glycoprotein (VSG, pseudogene), putative	0	0.04	0.01	4.7	0.04	0	0	
Tb927.4.5740	Tb927.4.5740:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,578,376..1,579,793(-)	variant surface glycoprotein, degenerate	0	0	0	0	0.02	0	0	
Tb927.4.5750	Tb927.4.5750:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,580,959..1,581,696(-)	variant surface glycoprotein, fragment, degenerate	0	0	0	0.01	0.03	0	0	
Tb927.4.5760	Tb927.4.5760:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,581,995..1,584,005(-)	variant surface glycoprotein, degenerate	0	0	0	6.35	0.07	0	0	
Tb927.4.5770	Tb927.4.5770:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,584,196..1,585,161(-)	expression site-associated gene 3 (ESAG3), degenerate	0	3.56	0.1	0.59	5.99	0	17.06	
Tb927.4.5780	Tb927.4.5780:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,585,925..1,587,516(-)	variant surface glycoprotein, degenerate	0	0	0	0	0.01	0	0	
Tb927.4.5790	Tb927.4.5790:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:1,587,750..1,588,619(-)	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative	0	0	0	0.02	0.01	0	0	
Tb927.4.580	Tb927.4.580:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:166,931..168,539(-)	hypothetical protein, conserved	4.7	5.56	4.38	4.91	6.95	3.36	5.87	
Tb927.4.5800	Tb927.4.5800:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_04_v5.1:1,589,863..1,590,261(-)	variant surface glycoprotein, truncated	0	0	0	0.02	0.03	0	0.46	
Tb927.4.590	Tb927.4.590:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:168,741..171,787(-)	PQQ-like domain/Protein of unknown function (DUF1620), putative	42.45	27.57	20.96	18.04	28.66	22.6	34.82	
Tb927.4.600	Tb927.4.600:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:172,087..173,219(-)	Alpha/beta hydrolase family, putative	30.91	22.79	23.87	19.25	23.94	11.58	19.45	
Tb927.4.610	Tb927.4.610:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:173,337..175,440(-)	PX domain containing protein, putative	5.01	8.13	5.09	12.33	8.36	5.45	9.42	
Tb927.4.620	Tb927.4.620:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:175,573..183,445(-)	hypothetical protein, conserved	3.69	2.6	2.79	6.26	4.21	3.05	4.33	
Tb927.4.630	Tb927.4.630:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:183,833..184,754(-)	MICOS complex subunit MIC34	14.46	13.2	18.46	18.65	19.49	9.37	22.69	
Tb927.4.640	Tb927.4.640:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:184,897..186,503(-)	GRIP domain containing protein, putative	8.05	9.29	9	14.21	17.27	7.44	19.13	
Tb927.4.650	Tb927.4.650:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:186,963..187,718(-)	chaperone protein DnaJ, putative	15.27	15.33	16.93	17.61	19.75	8.73	14.2	
Tb927.4.660	Tb927.4.660:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:187,983..190,089(-)	hypothetical protein, conserved	10.2	14.98	13.55	20.35	19.79	8.81	14.68	
Tb927.4.670	Tb927.4.670:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:190,237..193,674(-)	conserved protein, unknown function	12.79	12.09	8.88	17.36	14.69	6.52	16.75	
Tb927.4.680	Tb927.4.680:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:193,789..194,987(-)	hypothetical protein, conserved	12.12	13.02	14.8	20.99	22.67	14.13	24.4	
Tb927.4.690	Tb927.4.690:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:195,568..196,571(-)	geranylgeranyl transferase type II beta subunit, putative	8.52	12.35	12.19	16.06	10.9	7.11	17.7	
Tb927.4.700	Tb927.4.700:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:196,673..197,913(-)	hypothetical protein, conserved	6.25	6.84	15.28	20.3	19.76	12.75	25.81	
Tb927.4.710	Tb927.4.710:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:200,857..202,244(-)	hypothetical protein, conserved	2.44	8.43	1.86	10.27	6.04	1.02	12.01	
Tb927.4.720	Tb927.4.720:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:202,431..203,356(-)	hypothetical protein, conserved	45.99	24.91	58.41	21.11	19.27	42.15	43.79	
Tb927.4.730	Tb927.4.730:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:203,661..205,158(-)	Peptidase family C78, putative	14.88	17.01	22.13	18.18	24.29	12.5	21.38	
Tb927.4.740	Tb927.4.740:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:205,296..206,958(-)	Rgp1, putative	26.92	23.54	22.43	20.97	24.61	13.93	20.04	
Tb927.4.750	Tb927.4.750:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:207,281..208,041(-)	50S ribosomal protein L7Ae, putative	33.73	30.32	31.61	19.23	23.33	20.68	35.04	
Tb927.4.760	Tb927.4.760:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:208,684..211,289(-)	AP-1 adapter complex gamma subunit, putative	16.27	21.05	13.39	32.6	25.34	8.24	31.9	
Tb927.4.770	Tb927.4.770:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:211,670..216,207(-)	ubiquitin-protein ligase, putative	8.2	7.84	7.61	12.54	9	6.49	11.22	
Tb927.4.780	Tb927.4.780:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:216,630..217,261(-)	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y, putative	7.24	9.08	11.25	12.49	14.36	9.26	23.14	
Tb927.4.790	Tb927.4.790:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:218,030..219,116(-)	hypothetical protein, conserved	12.27	11.09	10.41	10.97	15.12	4.32	14.99	
Tb927.4.800	Tb927.4.800:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:219,256..228,407(-)	target of rapamycin kinase 3, putative	10.74	7.76	2.47	7.76	4.32	4.48	7.04	
Tb927.4.810	Tb927.4.810:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:228,529..230,464(-)	expression site-associated gene 5 (ESAG5) protein, putative	8.84	22.17	4.78	29.53	27.99	6.48	30.22	
Tb927.4.820	Tb927.4.820:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:230,573..232,217(-)	TFIIF-stimulated CTD phosphatase, putative	7.74	7.33	8.47	12	13.7	9.57	12.04	
Tb927.4.830	Tb927.4.830:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:232,773..233,074(-)	cytochrome c oxidase assembly protein PET191, putative	15.81	10.64	23.77	16.66	21.29	11.96	12.87	
Tb927.4.840	Tb927.4.840:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:233,257..235,026(-)	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase, putative	12.82	13.55	9.58	15.76	15.32	11.03	17.47	
Tb927.4.850	Tb927.4.850:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:235,166..236,059(-)	hypothetical protein, conserved	5.12	10.78	11.73	17.9	12.81	12.45	28.17	
Tb927.4.860	Tb927.4.860:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:236,161..237,566(-)	hypothetical protein, conserved	11.04	11.35	16.96	18.3	21.16	17.99	30.55	
Tb927.4.870	Tb927.4.870:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:237,697..252,153(-)	dynein heavy chain, putative	7.83	4.42	4.57	9.81	5.94	6.18	6.76	
Tb927.4.880	Tb927.4.880:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:252,292..254,428(-)	TPR-repeat-containing chaperone protein DNAJ, putative	6.24	9.02	5.84	13.11	10.74	7.66	10.48	
Tb927.4.890	Tb927.4.890:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:254,633..255,751(-)	small nuclear ribonucleoprotein sm d3	21.87	24.62	19.95	19.44	31.72	25.86	35.41	
Tb927.4.900	Tb927.4.900:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:255,854..257,278(-)	hypothetical protein, conserved	8.66	11.44	9.74	15.07	12.99	15.65	19.23	
Tb927.4.910	Tb927.4.910.1:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:257,442..259,079(-)	hypothetical protein, conserved	8.5	10.02	13.38	15.63	15.41	15.69	17.75	
Tb927.4.910	Tb927.4.910.2:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:257,442..259,079(-)	hypothetical protein, conserved	8.5	10.02	13.38	15.63	15.41	15.69	17.75	
Tb927.4.920	Tb927.4.920:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:259,313..260,159(-)	TPR repeat, putative	21.62	25.88	18.47	24.04	29.14	12.8	40.22	
Tb927.4.930	Tb927.4.930:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:260,269..260,985(-)	Mitochondrial ribosomal protein L14	17.21	17.13	36.37	31.08	38.24	26.58	38.74	
Tb927.4.940	Tb927.4.940:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:261,057..261,946(-)	hypothetical protein, conserved	19.23	17.8	9.13	14.32	14.85	12.46	18.1	
Tb927.4.950	Tb927.4.950:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:262,118..263,156(-)	hypothetical protein, conserved	16.09	18.12	11.69	11.55	17.33	15.51	11.58	
Tb927.4.960	Tb927.4.960:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:263,441..267,055(-)	WD domain, G-beta repeat, putative	4.68	6.22	3.63	12.56	11.1	4.65	12.86	
Tb927.4.970	Tb927.4.970:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:267,244..267,982(-)	hypothetical protein, conserved	17.23	11.8	20.34	14.84	22.61	26.07	18.79	
Tb927.4.980	Tb927.4.980:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:268,181..269,900(-)	actin, putative	15.27	10.41	4.48	8.41	7.98	12.22	19.81	
Tb927.4.990	Tb927.4.990:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:270,150..271,358(-)	hypothetical protein, conserved	15.47	16.9	10.4	12.06	16.31	13.84	27.87	
Tb927.5.100	Tb927.5.100:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_05_v5.1:965..1,855(-)	expression site-associated gene 9 (ESAG9), degenerate	0	0	0.09	4.41	0.04	0	0	
Tb927.5.1000	Tb927.5.1000:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:385,212..386,972(+)	ubiquitin-conjugating enzyme E2, putative	68.71	93.92	38.28	50.77	61.19	33.53	93.79	
Tb927.5.1010	Tb927.5.1010:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:387,489..392,109(+)	hypothetical protein, conserved	8.14	7.28	4.38	7.7	6.82	4.88	11.18	
Tb927.5.1020	Tb927.5.1020:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:392,231..394,417(+)	disulfide isomerase, putative	18.74	17.74	11.99	10.51	18.21	16.12	27.85	
Tb927.5.1030	Tb927.5.1030:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:394,565..395,367(+)	Iron-sulfur assembly protein 2	8.92	10.15	13.62	10.01	9.85	10.19	25.13	
Tb927.5.1040	Tb927.5.1040:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:395,825..396,552(+)	hypothetical protein	3.83	3.31	7.25	4.3	5.84	2	5.85	
Tb927.5.1050	Tb927.5.1050:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:396,939..400,358(+)	hypothetical protein	12.39	5.84	6.39	2.45	3.31	5.17	12.45	
Tb927.5.1060	Tb927.5.1060:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:399,870..403,063(+)	mitochondrial processing peptidase, beta subunit, putative	58.44	13.48	27.11	3.74	4.84	23.27	19.94	
Tb927.5.1070	Tb927.5.1070:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:403,216..406,204(+)	OTU-like cysteine protease, putative	9.85	6.68	3.97	6.8	4.61	2.57	9.17	
Tb927.5.1080	Tb927.5.1080:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:407,825..409,323(+)	RNA-binding protein, putative	6.24	8.35	10.12	7.96	8.73	6.32	23.47	
Tb927.5.1090	Tb927.5.1090:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:409,673..412,112(+)	threonyl-tRNA synthetase, putative	51.46	26.67	19.78	17.04	24.83	21.39	37.03	
Tb927.5.110	Tb927.5.110:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:2,864..5,535(-)	variant surface glycoprotein (VSG)-related, putative	0.22	2.49	0.43	5.7	3.48	0.28	1.73	
Tb927.5.1100	Tb927.5.1100:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:415,318..417,451(+)	peroxisome targeting signal 1 receptor	41.59	23.56	12.51	15.78	14.34	8.95	14.06	
Tb927.5.1110	Tb927.5.1110:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:419,336..420,769(+)	60S ribosomal protein L8, putative	232.03	148.32	339.05	232.83	205.44	339.76	295.68	
Tb927.5.1120	Tb927.5.1120:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:420,947..441,076(+)	Phage tail fibre repeat, putative	54.97	12.95	12.85	21.9	17.38	40.04	58.77	
Tb927.5.1130	Tb927.5.1130:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:441,244..444,783(+)	hypothetical protein, conserved	23.55	18	10.25	15.54	6.22	6.71	13.49	
Tb927.5.1140	Tb927.5.1140:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:445,150..447,101(+)	choline/ethanolamine kinase	13.56	10.94	6.44	9.7	10.67	7.23	16.69	
Tb927.5.1145	Tb927.5.1145:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:449,004..450,012(+)	hypothetical protein	10.26	19.79	22.08	24.1	29.86	9.01	25.51	
Tb927.5.1150	Tb927.5.1150:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:450,167..452,606(+)	RNA helicase Prp43	23.24	7.15	12.17	8.88	10.13	17.9	13.96	
Tb927.5.1160	Tb927.5.1160:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:452,747..453,583(+)	Degradation arginine-rich protein for mis-folding, putative	35.19	78.17	27.46	51.55	65.55	13.3	94.01	
Tb927.5.1170	Tb927.5.1170:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:455,354..455,956(+)	hypothetical protein, conserved	4.62	9.9	10.83	12.71	14.01	5.51	19.34	
Tb927.5.1180	Tb927.5.1180:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:456,310..459,055(+)	hypothetical protein, conserved	17.83	10.37	11.74	6.66	10.27	7.52	8.77	
Tb927.5.120	Tb927.5.120:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:10,959..13,012(-)	expression site-associated gene 9 (ESAG9) protein, putative	0.29	12.57	0.46	12.52	9.79	0.1	15.23	
Tb927.5.1200	Tb927.5.1200:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:460,201..461,827(+)	exosome complex component CSL4	8.07	9.81	8.21	9.87	11.98	15.85	24.35	
Tb927.5.1210	Tb927.5.1210:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:461,801..463,732(+)	short-chain dehydrogenase, putative	64.79	66.42	28.13	18.34	42.15	35.27	90.37	
Tb927.5.1220	Tb927.5.1220:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:464,258..465,227(+)	hypothetical protein, conserved	6.56	8.87	16.26	17.33	21.17	9.38	18.9	
Tb927.5.1230	Tb927.5.1230:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:465,363..467,604(+)	hypothetical protein, conserved	20.41	22.88	8.46	13.41	11.47	7.33	27.5	
Tb927.5.1240	Tb927.5.1240:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:468,202..469,516(+)	LicD family, putative	8.78	12.13	10.04	14.54	18.73	11.53	23.51	
Tb927.5.1250	Tb927.5.1250:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:469,672..472,184(+)	GAF domain/TIP41-like family, putative	26.92	18	11.3	13.05	13.73	12.54	22.91	
Tb927.5.1260	Tb927.5.1260:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:472,304..476,079(+)	Sulfate transporter N-terminal domain with GLY motif/Sulfate transporter family, putative	5.32	7.23	3.2	6.23	2.68	2.68	6.57	
Tb927.5.1270	Tb927.5.1270:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:476,769..477,768(+)	Acidic leucine-rich nuclear phosphoprotein 32 family member	11.54	11.25	8.11	7.47	14.13	7.85	17.77	
Tb927.5.1280	Tb927.5.1280:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:477,919..478,788(+)	alanine racemase, putative	20.13	22.56	29.17	21.76	27.88	13.56	24.47	
Tb927.5.1290	Tb927.5.1290:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:479,324..480,781(+)	hypothetical protein, conserved	10.37	15.43	5.25	7	11.38	3.08	10.29	
Tb927.5.130	Tb927.5.130:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:14,812..15,868(-)	variant surface glycoprotein (VSG)-related, putative	0.56	10.64	0.5	8.12	8.55	0.16	14.54	
Tb927.5.1300	Tb927.5.1300:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:481,542..484,043(+)	V-type proton ATPase subunit a, putative	17.66	19.31	12.82	21.95	20.11	7.93	21.68	
Tb927.5.1310	Tb927.5.1310:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:484,892..486,044(+)	protoheme IX farnesyltransferase, putative	27.1	12.74	28.98	20.42	17.66	12.64	16.86	
Tb927.5.1320	Tb927.5.1320:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:487,419..490,066(+)	Kinetochore interacting protein 2	9.62	8.76	7.56	12.89	9.06	5.71	12.1	
Tb927.5.1330	Tb927.5.1330:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:490,231..493,354(+)	hypothetical protein, conserved	5.35	5.88	4.85	8.16	7.29	5.92	9.36	
Tb927.5.1340	Tb927.5.1340:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:493,679..496,303(+)	pre-mRNA splicing factor, putative	8.19	10.32	7.08	11.44	10.7	8.21	15.31	
Tb927.5.1350	Tb927.5.1350:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:496,432..498,141(+)	hypothetical protein, conserved	13.96	14.03	9.39	9.24	11.2	11.05	19.81	
Tb927.5.1360	Tb927.5.1360:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:498,288..499,623(+)	nucleoside 2-deoxyribosyltransferase	17.28	31.27	32.09	24.41	38.66	8.95	29.24	
Tb927.5.1370	Tb927.5.1370:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:499,824..500,612(+)	peptidyl-prolyl cis-trans isomerase, putative	15.64	13.24	7.47	9.98	8.27	7.37	23.7	
Tb927.5.1380	Tb927.5.1380:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:501,083..502,588(+)	hypothetical protein	5.42	14.71	2.29	11	9.82	2.18	11.19	
Tb927.5.1390	Tb927.5.1390:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:505,659..507,016(-)	64 kDa invariant surface glycoprotein	0.44	23.41	1.69	20.31	39.02	0.09	32.72	
Tb927.5.140	Tb927.5.140:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:17,942..18,610(+)	hypothetical protein, conserved	5.65	22.65	0	0	0.02	0	0	
Tb927.5.1400	Tb927.5.1400:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:507,402..508,174(-)	hypothetical protein	0	23.76	0.29	12.07	27.54	0.43	46.47	
Tb927.5.1410	Tb927.5.1410:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:508,589..509,949(-)	64 kDa invariant surface glycoprotein	0.29	35.34	2.29	21.42	46	0.06	40	
Tb927.5.1420	Tb927.5.1420:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:510,341..511,113(-)	hypothetical protein	0.51	28.81	0.3	14.26	32.62	0.48	57.25	
Tb927.5.1430	Tb927.5.1430:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:511,528..512,891(-)	64 kDa invariant surface glycoprotein	0.15	16.75	1.48	17.53	30.94	0	27.28	
Tb927.5.1440	Tb927.5.1440:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:513,285..514,204(-)	hypothetical protein	0.65	17.34	0.36	11.87	24.06	0.41	38.84	
Tb927.5.1450	Tb927.5.1450:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:516,166..520,286(-)	receptor-type adenylate cyclase GRESAG 4, putative	6.86	9.8	2.78	3.8	5.12	2.17	7.1	
Tb927.5.1460	Tb927.5.1460:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:520,969..522,614(-)	Possible lysine decarboxylase, putative	22.85	48.39	21.34	72.03	39.09	15.87	39.6	
Tb927.5.1470	Tb927.5.1470:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:522,981..524,982(-)	NADH-cytochrome b5 reductase, putative	28.93	20.64	18.12	15.31	14.28	10.87	34.96	
Tb927.5.1480	Tb927.5.1480:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:525,222..527,447(-)	hypothetical protein	2.77	3.76	2.56	3.11	1.76	4.42	7.32	
Tb927.5.1490	Tb927.5.1490:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:527,474..531,803(-)	Eukaryotic translation initiation factor 4 gamma 1	6.94	3.82	3.4	4.01	2.03	4.26	5.13	
Tb927.5.150	Tb927.5.150:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:25,822..27,510(+)	hypothetical protein, conserved	4.36	16.11	1.26	16.97	18.19	3.42	14.03	
Tb927.5.1500	Tb927.5.1500.1:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:531,979..534,701(-)	hypothetical protein, conserved	5.92	5.86	13.07	10.33	10.02	8.36	16.05	
Tb927.5.1500	Tb927.5.1500.2:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:531,979..534,701(-)	hypothetical protein, conserved	5.92	5.86	13.07	10.33	10.02	8.36	16.05	
Tb927.5.1510	Tb927.5.1510:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:534,219..535,930(-)	Mitochondrial SSU ribosomal protein, putative	15.58	12.47	19.79	11.05	16.99	14.84	28.23	
