2013Latest_numbers,Annotation,Class,Orthologue count,ORF length,BS RNAs/ cell Silicotryp ,Log 2 BS RNAs/ cell Silicotryp ,RPM pA+ fragments BS,BS RNAs/cell pA+ fragments ,Log 2 BS RNAs/cell pA+ fragments ,RPM Ribosome profiling,RPM Ribsome profiling x orthogue count,Ribosomes/cell/gene,Ribosomes/mRNA,Ribosomes/kb BS,Fraction in polysomes,mRNA abundance BS/PC (Silicotryp),"ribosomes/kb, BS/PC"
Tb927.10.14750,"fibrillarin, putative",rRNA.tRNA.process,3,915,5.4,2.43,165.05,9.90,3.31,83.57,250.71,21.99,4.07,4.45,0.754,0.57,0.613
Tb927.2.4550,"FtsJ cell division protein, putative (30M24.305)",rRNA.tRNA.process,1,2718,2.1,1.08,158.38,3.17,1.66,99.30,99.3,8.71,4.11,1.51,0.797,1.04,0.242
Tb927.10.7810,"Homologue of yeast ESF1,nucleolar protein involved in pre-rRNA processing",rRNA.tRNA.process,1,2139,1.4,0.51,101.02,2.02,1.01,70.36,70.36,6.17,4.34,2.03,0.755,1.93,0.3
Tb927.4.3140,"Homologue of yeast SDO1 and human SBDS, involved in 60S ribosome maturation",rRNA.tRNA.process,1,1407,1.4,0.52,94.40,1.89,0.92,52.00,52,4.56,3.19,2.27,0.741,3.06,0.327
Tb927.5.4410,"hypothetical protein, conserved, Rrp15 like domain, required for 60s ribosomal subunit formation",rRNA.tRNA.process,2,657,1.9,0.89,68.14,2.73,1.45,64.64,129.28,11.34,6.12,9.32,0.607,0.98,1.661
Tb927.1.880,MDN1 homologue. Dynein-related AAA ATPase involved in pre-60S assembly and export,rRNA.tRNA.process,1,13779,1.8,0.85,165.24,3.30,1.72,83.69,83.69,7.34,4.06,0.29,0.773,6.41,0.019
Tb927.8.1830,MTU1  tRNA thiolation,rRNA.tRNA.process,1,1674,1.6,0.69,126.89,2.54,1.34,11.63,11.63,1.02,0.63,0.38,0.656,1.18,1.118
Tb927.11.5480,"N-terminus  homologue of human histone mRNA 3' exoribonuclease, C-terminus Homologue of yeast TPT1, tRNA 2'-phosphotransferase involved in last step ot tRNA splicing",rRNA.tRNA.process,1,1623,1.3,0.38,102.46,2.05,1.04,52.80,52.8,4.63,3.57,2.2,0.676,1.81,1.438
Tb927.11.3890,"N(2), N(2)-dimethylguanosine tRNA methyltransferase, putative",rRNA.tRNA.process,1,2175,1.4,0.50,72.16,1.44,0.53,23.33,23.33,2.05,1.45,0.67,0.686,2.15,0.239
Tb927.11.7150,NGG1 interacting factor 3-like,rRNA.tRNA.process,1,846,2.0,0.99,124.69,2.49,1.32,129.20,129.2,11.33,5.72,6.76,0.637,1.72,0.707
Tb927.7.970,NMD3 (rRNA processing),rRNA.tRNA.process,1,1629,2.2,1.12,90.04,1.80,0.85,42.97,42.97,3.77,1.73,1.06,0.724,1.26,0.355
Tb927.10.6320,"NOC3, nuclear export of ribosomes, assoc with NRG1",rRNA.tRNA.process,1,1842,1.2,0.29,120.86,2.42,1.27,41.40,41.4,3.63,2.98,1.62,0.721,1.04,0.391
Tb927.7.1440,non-canonical poly (A) polymerase (ncPAP2),rRNA.tRNA.process,1,1467,1.5,0.55,166.55,3.33,1.74,122.08,122.08,10.71,7.31,4.98,0.79,1.26,1.452
Tb927.8.1090,NPAPL or ncPAP1,rRNA.tRNA.process,1,2241,1.5,0.58,115.41,2.31,1.21,133.75,133.75,11.73,7.83,3.49,0.763,2.82,0.436
Tb927.11.6620,"nucleic acid binding protein,possible AIR1 homologue",rRNA.tRNA.process,1,1269,2.2,1.13,140.83,2.82,1.49,63.25,63.25,5.55,2.53,1.99,0.692,2.92,0.684
Tb927.11.3120,nucleolar GTP-binding protein 1 (NOG1),rRNA.tRNA.process,1,1968,2.5,1.34,144.78,2.90,1.53,174.80,174.8,15.33,6.05,3.07,0.793,2.92,0.11
Tb927.8.3750,nucleolar protein (Nop56 homologue),rRNA.tRNA.process,1,1452,4.2,2.06,184.05,3.68,1.88,398.71,398.71,34.97,8.36,5.76,0.804,1.31,0.429
Tb927.9.2470,nucleolar protein (NOP86),rRNA.tRNA.process,2,2283,15.0,3.91,798.55,31.94,5.00,1905.11,3810.22,334.16,22.26,9.75,0.861,1.73,0.537
Tb927.4.3840,"nucleolar protein, putative",rRNA.tRNA.process,1,1578,2.9,1.52,113.21,2.26,1.18,52.64,52.64,4.62,1.61,1.02,0.767,1.17,0.249
Tb927.9.5320,"nucleolar RNA binding protein, putative (28G16.220)",rRNA.tRNA.process,1,1284,3.6,1.85,247.12,4.94,2.31,226.41,226.41,19.86,5.5,4.28,0.844,0.9,0.468
Tb927.5.4420,"nucleolar RNA helicase 2 human, DDX50 Mouse",rRNA.tRNA.process,2,1899,4.5,2.17,250.79,10.03,3.33,137.71,275.42,24.15,5.38,2.83,0.814,1.2,0.165
Tb927.10.4740,"nucleolar RNA-binding protein, putative",rRNA.tRNA.process,1,192,5.2,2.38,42.94,0.86,-0.22,79.71,79.71,6.99,1.34,6.98,0.591,1.03,0.543
Tb927.8.730,"nucleolar RNA-binding protein, putative",rRNA.tRNA.process,1,762,9.5,3.25,255.36,5.11,2.35,281.20,281.2,24.66,2.6,3.41,0.83,0.75,0.671
Tb927.9.8200,PES1,rRNA.tRNA.process,1,1977,2.2,1.16,134.59,2.69,1.43,125.54,125.54,11.01,4.93,2.49,0.765,1.76,0.191
Tb927.6.2970,"pseudouridine synthase A-like protein, putative",rRNA.tRNA.process,1,1287,1.4,0.45,67.90,1.36,0.44,16.23,16.23,1.42,1.04,0.81,0.66,0.93,0.429
Tb927.10.9050,pseudouridine synthase PUS7,rRNA.tRNA.process,1,2001,1.3,0.41,161.83,3.24,1.69,38.72,38.72,3.4,2.55,1.27,0.692,0.71,0.54
Tb927.10.170,"pseudouridine synthase, BS5p",rRNA.tRNA.process,1,1284,4.8,2.25,242.77,4.86,2.28,319.49,319.49,28.02,5.9,4.6,0.77,1.11,0.605
Tb927.7.1510,"pseudouridylate synthase I, putative",rRNA.tRNA.process,1,1857,1.2,0.25,121.69,2.43,1.28,19.94,19.94,1.75,1.47,0.79,0.681,1.14,0.699
Tb927.9.3350,"pseudouridylate synthase, putative",rRNA.tRNA.process,1,1221,1.5,0.62,112.67,2.25,1.17,33.83,33.83,2.97,1.93,1.58,0.614,1.01,0.451
Tb927.11.14960,PUF7,rRNA.tRNA.process,1,2115,1.4,0.50,79.35,1.59,0.67,40.15,40.15,3.52,2.48,1.17,0.708,1.08,0.169
Tb927.3.2470,PUF8,rRNA.tRNA.process,1,1815,2.4,1.27,81.32,1.63,0.70,33.99,33.99,2.98,1.24,0.68,0.702,1.62,0.151
Tb927.6.3130,"queuine tRNA-ribosyltransferase, putative",rRNA.tRNA.process,1,1344,1.8,0.83,72.95,1.46,0.54,28.48,28.48,2.5,1.4,1.04,0.692,1.02,0.387
Tb927.5.3520,"queuine tRNA-ribosyltransferase, putative",rRNA.tRNA.process,1,1008,3.6,1.84,43.35,0.87,-0.21,16.43,16.43,1.44,0.4,0.4,0.573,1.84,0.272
Tb927.8.2500,"ribosomal RNA methyltransferase, putative",rRNA.tRNA.process,1,768,1.0,-0.02,102.30,2.05,1.03,6.73,6.73,0.59,0.6,0.78,0.638,0.46,5.2
Tb927.2.2450,"ribosomal RNA methyltransferase, putative (25N14.40)",rRNA.tRNA.process,1,1299,0.5,-0.98,83.91,1.68,0.75,50.89,50.89,4.46,8.79,6.77,0.734,2.03,0.595
Tb927.11.1050,"RNA processing factor 1, putative,ribosome biogenesis protein",rRNA.tRNA.process,1,996,1.0,0.05,74.13,1.48,0.57,41.06,41.06,3.6,3.48,3.49,0.758,1.91,0.386
Tb927.9.7150,"RNA pseudouridylate synthase protein, putative",rRNA.tRNA.process,1,3765,1.1,0.19,187.80,3.76,1.91,75.04,75.04,6.58,5.76,1.53,0.706,1.98,0.457
Tb927.6.3230,"RNA pseudouridylate synthase, putative",rRNA.tRNA.process,1,1389,1.0,-0.01,84.33,1.69,0.75,16.53,16.53,1.45,1.46,1.05,0.719,1.35,0.755
Tb927.11.14020,RNA-binding protein (NRBD2),rRNA.tRNA.process,2,840,19.6,4.29,705.06,28.20,4.82,269.73,539.46,47.31,2.41,2.87,0.575,0.4,1.059
Tb927.8.4170,RNA-binding protein MRD1,rRNA.tRNA.process,1,2574,1.5,0.59,98.03,1.96,0.97,55.77,55.77,4.89,3.25,1.26,0.736,2.09,0.265
Tb927.11.3070,"RRB1 homologue, involved in early stages of ribosome biogenesis.",rRNA.tRNA.process,1,1731,3.1,1.63,170.48,3.41,1.77,58.50,58.5,5.13,1.65,0.95,0.763,0.83,0.505
Tb927.1.1370,"rRNA biogenesis protein, putative",rRNA.tRNA.process,1,2040,1.2,0.26,102.20,2.04,1.03,44.37,44.37,3.89,3.24,1.59,0.728,1.6,0.227
Tb927.10.3690,"rRNA dimethyltransferase, putative",rRNA.tRNA.process,1,1404,0.8,-0.36,66.23,1.32,0.41,10.30,10.3,0.9,1.16,0.83,0.536,1.16,0.529
Tb927.4.4170,"rRNA methyltransferase, putative",rRNA.tRNA.process,1,855,0.5,-1.08,66.14,1.32,0.40,10.68,10.68,0.94,1.97,2.3,0.497,0.92,1.983
Tb927.9.15060,"rRNA processing protein, putative",rRNA.tRNA.process,1,756,2.6,1.39,69.55,1.39,0.48,40.48,40.48,3.55,1.35,1.79,0.783,0.57,0.937
Tb927.4.470,"snoRNP protein GAR1, putative",rRNA.tRNA.process,1,690,2.6,1.38,88.97,1.78,0.83,144.77,144.77,12.7,4.88,7.07,0.794,0.78,0.536
Tb927.9.9120,"tRNA (guanine-N(7)-)-methyltransferase, putative,methyltransferase, putative",rRNA.tRNA.process,1,735,2.0,1.02,103.43,2.07,1.05,40.44,40.44,3.55,1.74,2.37,0.665,0.67,2.155
Tb927.3.4900,"tRNA isopentenyltransferase, putative",rRNA.tRNA.process,1,1377,0.8,-0.32,141.43,2.83,1.50,15.51,15.51,1.36,1.7,1.23,0.56,1.46,0.554
Tb927.6.3510,"tRNA modification enzyme, putative",rRNA.tRNA.process,1,1608,1.3,0.41,88.50,1.77,0.82,46.81,46.81,4.11,3.1,1.93,0.69,1.17,0.625
Tb927.9.8780,"tRNA nucleotidyltransferase, putative",rRNA.tRNA.process,1,1581,1.5,0.62,125.37,2.51,1.33,54.52,54.52,4.78,3.12,1.97,0.771,1.02,0.798
Tb927.10.6090,"tRNA pseudouridine synthase A, putative",rRNA.tRNA.process,1,2067,1.1,0.10,106.70,2.13,1.09,40.27,40.27,3.53,3.29,1.59,0.649,1.16,0.97
Tb927.11.9310,"tRNA pseudouridine synthase, putative",rRNA.tRNA.process,1,2703,0.8,-0.34,134.66,2.69,1.43,11.64,11.64,1.02,1.3,0.48,0.631,2.14,0.403
Tb927.8.7570,"tRNA-dihydrouridine synthase 1, putative",rRNA.tRNA.process,1,1563,1.7,0.77,229.44,4.59,2.20,66.37,66.37,5.82,3.41,2.18,0.613,1.16,1.503
Tb927.10.4870,"tRNA-dihydrouridine synthase 2, putative",rRNA.tRNA.process,1,1308,0.5,-0.98,82.99,1.66,0.73,25.83,25.83,2.27,4.47,3.42,0.698,0.54,2.235
Tb927.7.6450,"tRNA-dihydrouridine synthase 3, putative",rRNA.tRNA.process,1,1587,2.2,1.14,120.37,2.41,1.27,40.77,40.77,3.58,1.62,1.02,0.709,2.83,0.203
Tb927.4.3110,"tRNA-dihydrouridine synthase 4, putative",rRNA.tRNA.process,1,1260,1.4,0.53,155.83,3.12,1.64,20.28,20.28,1.78,1.23,0.98,0.563,1.6,1.153
Tb927.11.15280,tRNA-sepcific adenosine deaminase (ADAT3),rRNA.tRNA.process,1,1098,1.0,0.05,128.83,2.58,1.37,15.75,15.75,1.38,1.34,1.22,0.513,0.56,2.837
Tb927.8.4180,tRNA-specific adenosine deaminase (ADAT2),rRNA.tRNA.process,1,678,1.1,0.15,64.04,1.28,0.36,17.96,17.96,1.58,1.42,2.09,0.501,1.04,1.035
Tb927.6.1900,"U3/U14 snoRNA-associated small subunit rRNA processing protein, putative",rRNA.tRNA.process,1,1428,1.7,0.77,121.24,2.42,1.28,63.98,63.98,5.61,3.28,2.3,0.746,0.8,0.447
Tb927.4.3850,WDR12,rRNA.tRNA.process,1,1362,1.7,0.78,110.33,2.21,1.14,51.42,51.42,4.51,2.62,1.92,0.722,0.92,0.465
Tb927.5.3850,XRNE,rRNA.tRNA.process,1,2676,1.3,0.36,114.90,2.30,1.20,49.90,49.9,4.38,3.4,1.27,0.755,2.27,0.22
Tb927.11.6870,14-3-3 protein,Signalling,2,759,9.1,3.18,97.71,3.91,1.97,585.24,1170.48,102.65,11.3,14.89,0.866,1.49,0.557
Tb927.11.9530,14-3-3-I protein,Signalling,2,789,22.6,4.50,821.50,32.86,5.04,1640.64,3281.28,287.77,12.76,16.17,0.856,1.83,0.914
Tb927.3.3070,"3', 5'-cyclic nucleotide phosphodiesterase, putative (PDEC)",Signalling,1,2730,1.0,0.00,33.17,0.66,-0.59,72.82,72.82,6.39,6.4,2.34,0.739,2.29,0.603
Tb927.4.2470,ARMTOR (TOR complexes),Signalling,1,4035,1.1,0.12,221.72,4.43,2.15,58.89,58.89,5.16,4.75,1.18,0.697,1.71,0.463
Tb927.8.3200,AVO3 (TOR signalling),Signalling,1,4218,1.4,0.46,159.03,3.18,1.67,60.09,60.09,5.27,3.83,0.91,0.756,3.83,0.208
Tb927.10.13000,"cAMP phosphodiesterase A, putative (PDEA)",Signalling,1,1863,1.5,0.59,127.16,2.54,1.35,47.57,47.57,4.17,2.78,1.49,0.699,0.82,0.475
Tb927.9.6880,"cAMP-specific phosphodiesterase, putative",Signalling,1,1956,1.4,0.46,191.43,3.83,1.94,102.51,102.51,8.99,6.55,3.35,0.697,1.44,1.018
Tb927.11.16210,"CARP1 cyclic nucleotide-binding protein, putative",Signalling,1,2118,1.1,0.18,72.49,1.45,0.54,54.46,54.46,4.78,4.2,1.98,0.758,4.31,0.44
Tb927.7.5340,CARP3,Signalling,1,1497,2.9,1.53,25.68,0.51,-0.96,376.00,376,32.98,11.41,7.62,0.795,3.9,0.261
Tb927.7.3420,FKBP12 (TOR complex),Signalling,2,339,10.1,3.34,92.04,3.68,1.88,108.50,217,19.03,1.88,5.55,0.785,1.85,0.863
Tb927.1.3220,"GTPase activating protein of Rab-like GTPase, putative",Signalling,1,1602,1.5,0.59,120.14,2.40,1.26,65.94,65.94,5.78,3.84,2.4,0.637,1.69,1.702
Tb927.6.2830,"GTPase activating protein, conserved",Signalling,1,1347,1.4,0.52,45.10,0.90,-0.15,157.38,157.38,13.8,9.64,7.16,0.716,1.43,5.728
Tb927.7.2470,"GTPase activating protein, putative",Signalling,1,2157,1.2,0.25,108.06,2.16,1.11,47.74,47.74,4.19,3.52,1.63,0.774,1.72,0.564
Tb927.9.4370,"GTPase activating protein, putative",Signalling,1,4194,1.1,0.14,168.73,3.37,1.75,146.52,146.52,12.85,11.63,2.77,0.731,3.98,0.463
Tb927.10.8750,"GTPase activating protein, putative",Signalling,1,1023,1.3,0.34,72.89,1.46,0.54,8.98,8.98,0.79,0.62,0.61,0.597,1.25,2.103
Tb927.6.4120,"GTPase activating protein, putative",Signalling,1,1182,0.9,-0.10,76.17,1.52,0.61,43.98,43.98,3.86,4.15,3.51,0.6,0.98,1.054
Tb927.10.7680,"GTPase activating protein, putative",Signalling,1,1593,3.9,1.98,219.20,4.38,2.13,145.34,145.34,12.75,3.24,2.03,0.771,1.95,0.347
Tb927.10.8770,"GTPase activating protein, putative, in Tc vacuolar proteome",Signalling,1,1257,1.3,0.38,63.58,1.27,0.35,45.11,45.11,3.96,3.05,2.43,0.746,1.71,1.711
Tb927.11.4900,"guanine nucleotide-binding beta subunit-like protein,G-protein (beta)-like protein,beta transducin-like protein",Signalling,1,1683,3.1,1.63,297.71,5.95,2.57,432.68,432.68,37.95,12.23,7.27,0.792,1.4,0.751
Tb927.7.4400,"inositol polyphosphate kinase-like protein, putative",Signalling,1,2271,0.9,-0.11,64.94,1.30,0.38,31.68,31.68,2.78,3,1.32,0.681,2.06,0.427
Tb927.11.6270,"inositol-1,4,5-trisphosphate (IP3) 5-phosphatase, putative",Signalling,1,1695,1.0,-0.04,101.19,2.02,1.02,83.97,83.97,7.36,7.58,4.47,0.66,1.75,0.696
Tb927.5.2690,"inositol-1(or 4)-monophosphatase 1, putative (IMPase 1)",Signalling,1,852,2.3,1.17,150.65,3.01,1.59,69.84,69.84,6.13,2.72,3.19,0.551,1.52,1.119
Tb927.9.6350,"inositol-1(or 4)-monophosphatase, putative (IMPase)",Signalling,1,1095,2.1,1.08,104.44,2.09,1.06,116.14,116.14,10.19,4.82,4.4,0.748,1.88,1.354
Tb927.10.7110,Inositol-3-phosphate synthase,Signalling,1,1587,2.0,1.02,181.85,3.64,1.86,167.54,167.54,14.69,7.23,4.56,0.791,1.73,0.487
Tb927.8.2770,IP3 inositol trisphosphate receptor.,Signalling,1,9300,0.9,-0.12,217.16,4.34,2.12,108.82,108.82,9.54,10.35,1.11,0.708,3.12,0.03
Tb927.10.15640,"LST8, TOR complex",Signalling,1,2115,1.0,0.07,119.20,2.38,1.25,133.43,133.43,11.7,11.18,5.29,0.772,1.46,0.964
Tb927.11.1460,"phosphatidylinositol (3,5) kinase, putative",Signalling,1,4344,1.3,0.40,156.44,3.13,1.65,42.61,42.61,3.74,2.84,0.65,0.739,3.76,0.504
Tb927.11.15330,"phosphatidylinositol 3-kinase catalytic subunit, putative",Signalling,1,3342,1.0,0.04,29.76,0.60,-0.75,34.85,34.85,3.06,2.97,0.89,0.652,3.84,0.724
Tb927.11.14680,"phosphatidylinositol 3-related kinase, putative",Signalling,1,8583,2.1,1.08,227.73,4.55,2.19,142.58,142.58,12.5,5.9,0.69,0.774,7.77,0.112
Tb927.4.1620,"phosphatidylinositol 4-phosphate 5-kinase alpha, putative (PIP5KII-alpha)",Signalling,1,1446,0.7,-0.44,94.20,1.88,0.91,13.80,13.8,1.21,1.65,1.14,0.64,1.7,1.2
Tb927.10.4770,"phosphatidylinositol-4-phosphate 5-kinase, putative",Signalling,1,1341,2.4,1.28,149.65,2.99,1.58,128.15,128.15,11.24,4.63,3.45,0.788,3.11,1.348
Tb927.10.3890,"phosphatidylinositol-4-phosphate 5-kinase, putative (PIP5KII-alpha)",Signalling,1,2520,0.8,-0.24,95.84,1.92,0.94,36.20,36.2,3.17,3.74,1.48,0.744,1.99,0.422
Tb927.8.6210,PI3 kinase Class (III),Signalling,1,2850,1.5,0.61,157.91,3.16,1.66,46.42,46.42,4.07,2.67,0.94,0.68,3.45,0.325
Tb927.3.4020,PI4 kinase,Signalling,1,6939,0.7,-0.46,104.53,2.09,1.06,49.16,49.16,4.31,5.94,0.86,0.601,4.56,0.056
Tb927.4.1140,PI4 kinase,Signalling,1,1746,2.2,1.13,112.84,2.26,1.17,65.01,65.01,5.7,2.6,1.49,0.697,2.22,0.668
Tb927.2.2260,PIK-related,Signalling,1,12834,1.1,0.16,182.62,3.65,1.87,105.31,105.31,9.24,8.24,0.64,0.691,10.28,0.086
Tb927.3.4680,"RAB GDP dissociation inhibitor alpha, putative",Signalling,1,1338,4.6,2.19,326.42,6.53,2.71,700.76,700.76,61.46,13.47,10.07,0.827,1.4,1.022
Tb927.10.12170,"RAB-interacting protein, putative",Signalling,1,684,1.5,0.61,64.83,1.30,0.37,29.16,29.16,2.56,1.68,2.46,0.772,1.87,3
Tb927.10.12190,"RAB-interacting protein, putative",Signalling,1,639,1.7,0.80,69.78,1.40,0.48,66.96,66.96,5.87,3.37,5.27,0.653,1.87,1.015
Tb927.1.2190,RAPTOR-like (TOR complexes),Signalling,1,5244,1.6,0.71,134.64,2.69,1.43,72.48,72.48,6.36,3.88,0.74,0.725,2.54,0.326
Tb927.7.1640,"ras-like small GTPase, putative (TbEAR)",Signalling,1,1731,1.0,-0.02,96.70,1.93,0.95,48.49,48.49,4.25,4.31,2.49,0.701,1.31,0.596
Tb927.11.3320,"ras-like small GTPase, putative (TbGTR)",Signalling,1,1068,1.9,0.96,154.59,3.09,1.63,77.82,77.82,6.82,3.5,3.28,0.607,1.51,0.826
Tb927.11.2640,"ras-like small GTPase, putative (TbNST)",Signalling,1,1461,1.2,0.21,65.33,1.31,0.39,17.80,17.8,1.56,1.35,0.92,0.641,0.85,0.497
Tb927.11.6030,"ras-like small GTPase, putative (TbRLP)",Signalling,1,681,0.8,-0.24,28.64,0.57,-0.80,17.94,17.94,1.57,1.85,2.72,0.56,1.48,1.138
Tb927.9.5680,Rho GAP,Signalling,1,2355,2.5,1.33,244.67,4.89,2.29,91.39,91.39,8.02,3.18,1.35,0.753,3.79,0.551
Tb927.3.5550,"small GTP-binding protein, putative (TbRX1)",Signalling,1,552,6.1,2.61,156.35,3.13,1.64,183.66,183.66,16.11,2.64,4.78,0.785,2.21,1.192
Tb927.10.8420,target of rapamycin (TOR) kinase 1 (TOR1),Signalling,2,7299,1.9,0.96,260.14,10.41,3.38,120.05,240.1,21.06,10.86,1.49,0.743,3.47,0.152
Tb927.10.8920,TbGRP  ras-like small GTPase,Signalling,1,1020,2.8,1.48,140.72,2.81,1.49,52.47,52.47,4.6,1.65,1.62,0.67,1.25,0.681
Tb927.11.620,TbRAPTOR (TOR signalling),Signalling,1,3891,1.4,0.49,157.24,3.14,1.65,113.28,113.28,9.93,7.06,1.81,0.747,1.84,0.401
Tb927.11.12950,TbRLJ  ras-like small GTPase,Signalling,1,651,2.5,1.31,68.97,1.38,0.46,22.99,22.99,2.02,0.82,1.26,0.699,1.08,1.5
Tb927.4.420,TbTOR2,Signalling,2,7239,1.6,0.69,136.38,5.46,2.45,75.93,151.86,13.32,8.27,1.14,0.625,4.17,0.228
Tb927.1.1930,TbTOR4 = TOR-like 2,Signalling,1,8712,1.1,0.16,157.11,3.14,1.65,272.16,272.16,23.87,21.42,2.46,0.747,5.57,0.099
Tb927.4.800,TOR3 = TOR-like 1,Signalling,1,7788,1.5,0.61,139.87,2.80,1.48,102.64,102.64,9,5.88,0.76,0.733,5.35,0.146
Tb927.8.2480,"3-oxo-5-alpha-steroid 4-dehydrogenase-like, putative",Sterols,1,1008,1.0,-0.05,58.84,1.18,0.23,25.04,25.04,2.2,2.28,2.26,0.717,2.86,2.861
Tb927.3.1840,"3-oxo-5-alpha-steroid 4-dehydrogenase, putative",Sterols,1,897,7.2,2.84,193.52,3.87,1.95,1034.23,1034.23,90.7,12.66,14.11,0.841,1.57,0.579
Tb927.11.15530,"C-14 sterol reductase, putative",Sterols,1,1377,0.5,-0.96,49.21,0.98,-0.02,27.01,27.01,2.37,4.62,3.36,0.607,0.48,0.291
Tb927.4.4080,"C-5 sterol desaturase, putative",Sterols,1,741,0.4,-1.20,38.66,0.77,-0.37,7.98,7.98,0.7,1.61,2.17,0.71,0.98,0.168
Tb927.3.4650,"C-8 sterol isomerase, putative",Sterols,1,666,0.7,-0.47,41.91,0.84,-0.25,13.57,13.57,1.19,1.65,2.48,0.589,0.21,0.47
Tb927.2.5200,"hypothetical protein, conserved, resembles human cholesterol esterase",Sterols,1,2142,0.8,-0.35,154.86,3.10,1.63,158.98,158.98,13.94,17.82,8.32,0.676,3.91,0.336
Tb927.7.5230,lanosterol synthase,Sterols,1,2721,1.8,0.88,171.71,3.43,1.78,146.85,146.85,12.88,7.02,2.58,0.77,3.01,0.173
Tb927.8.3240,"lathosterol oxidase, putative",Sterols,1,813,1.5,0.58,51.70,1.03,0.05,56.08,56.08,4.92,3.29,4.05,0.738,0.82,0.555
Tb927.7.4950,NAD(p)-dependent steroid dehydrogenase-like protein,Sterols,1,1215,0.8,-0.31,82.28,1.65,0.72,32.32,32.32,2.83,3.51,2.89,0.706,0.47,0.619
Tb927.11.3270,"squalene monooxygenase, putative",Sterols,1,1740,0.7,-0.52,73.62,1.47,0.56,34.76,34.76,3.05,4.36,2.51,0.693,0.94,0.29
Tb927.8.7120,Squalene synthase,Sterols,1,1371,0.7,-0.42,121.80,2.44,1.28,31.87,31.87,2.8,3.75,2.74,0.758,0.14,1.257
Tb927.11.6210,sterol 14-alpha-demethylase (CYP51),Sterols,1,1446,0.6,-0.67,72.95,1.46,0.54,46.11,46.11,4.04,6.43,4.45,0.709,0.21,0.425
Tb927.10.6950,"sterol 24-c-methyltransferase, putative",Sterols,3,1080,1.7,0.80,93.32,5.60,2.49,41.04,123.12,10.8,6.21,5.75,0.79,0.21,0.963
Tb927.9.11050,"4E-IP, 4E-interacting protein, putative",Translation,1,1638,3.8,1.93,51.36,1.03,0.04,458.35,458.35,40.2,10.52,6.42,0.792,2.19,0.786
Tb927.10.14550,"DED1-1, ATP-dependent DEAD/H RNA helicase,",Translation,1,1857,1.9,0.92,41.77,0.84,-0.26,967.23,967.23,84.83,44.84,24.15,0.597,1.07,0.504
Tb927.9.12510,"DED1-2, ATP-dependent DEAD/H RNA helicase, DED1-2",Translation,1,2208,3.8,1.92,147.56,2.95,1.56,776.35,776.35,68.09,18.02,8.16,0.816,1.17,0.459
Tb927.9.2580,"deoxyhypusine hydroxylase, putative",Translation,1,954,5.4,2.42,123.34,2.47,1.30,56.15,56.15,4.92,0.92,0.96,0.701,2.2,0.304
Tb927.7.1710,"DOM34, releases stalled ribosomes",Translation,1,1218,0.9,-0.20,68.40,1.37,0.45,51.48,51.48,4.51,5.18,4.25,0.701,1.16,1.115
Tb927.4.2740,"EF hand protein, conserved, RNAi inc diff?",Translation,1,453,17.2,4.10,257.76,5.16,2.37,933.38,933.38,81.86,4.76,10.51,0.851,1.08,1.436
Tb927.3.2900,"EF-2 alpha, elongation initiation factor 2 alpha subunit, ",Translation,1,1257,5.0,2.33,190.13,3.80,1.93,155.31,155.31,13.62,2.71,2.16,0.809,0.97,0.431
Tb927.9.10710,"EF1 alpha, elongation factor 1-alpha, putative,hsp70 suBSamily B suppressor 1",Translation,1,1914,0.8,-0.40,81.20,1.62,0.70,53.16,53.16,4.66,6.16,3.22,0.725,1.09,0.52
Tb927.11.13190,"EF1 gamma, elongation factor 1 gamma, putative",Translation,2,1215,17.1,4.09,812.61,32.50,5.02,1162.17,2324.34,203.85,11.93,9.82,0.831,0.58,1.153
Tb927.10.2110,"EF1-alpha elongation factor 1-alpha, (TEF1)",Translation,3,1350,213.0,7.73,5363.00,321.78,8.33,8764.23,26292.69,2305.91,10.83,8.02,0.856,0.9,0.907
Tb927.10.4570,EF2 elongation factor 2,Translation,2,2541,37.0,5.21,2338.20,93.53,6.55,4265.56,8531.12,748.19,20.24,7.97,0.851,1.09,0.374
Tb927.3.2170,"EF2 translation elongation factor EF-2, putative",Translation,1,2673,2.2,1.16,194.67,3.89,1.96,65.78,65.78,5.77,2.58,0.97,0.747,1.17,0.688
Tb927.11.8980,EFG2 elongation factor G2-like protein,Translation,2,2454,0.8,-0.28,76.88,3.08,1.62,31.17,62.34,5.47,6.65,2.71,0.694,2.59,0.279
Tb927.11.13250,eIF-2-gamma,Translation,1,1434,5.0,2.32,258.27,5.17,2.37,192.97,192.97,16.92,3.39,2.36,0.827,1.77,0.216
Tb927.8.4390,"eIF-2B GDP-GTP exchange factor, putative",Translation,1,1428,1.9,0.96,141.99,2.84,1.51,146.30,146.3,12.83,6.61,4.63,0.694,1.88,0.814
Tb927.10.4640,eIF-3 subunit L,Translation,1,1467,3.2,1.70,274.86,5.50,2.46,327.96,327.96,28.76,8.87,6.05,0.794,1.09,0.457
Tb927.10.5300,eIF-6,Translation,1,747,2.9,1.53,178.98,3.58,1.84,72.68,72.68,6.37,2.21,2.96,0.652,0.53,0.914
Tb927.8.5880,eIF1A,Translation,1,519,9.2,3.21,198.03,3.96,1.99,222.45,222.45,19.51,2.12,4.08,0.744,1.18,0.729
