2013Latest_numbers,Annotation,Class,Orthologue count,ORF length,PC RNAs/cell Silicotryp,RPM Ribsome profiling,RPM Ribsome profiling x orthogue count,Ribosomes/cell/gene,Ribosomes/mRNA,Ribosomes/kb,Fraction in polysomes,LOG 2 Ribosomes/kb,Ribosomes/kb on polysomes,
Tb927.3.1210,protein transport protein Sec24 (SEC24.1),Vesicular.transport,1,2922,1.6,291.52,291.52,57.32,36.73,12.57,0.695,3.65,18.08633094,
Tb927.3.5420,protein transport protein Sec24 (SEC24.2),Vesicular.transport,1,2712,1.7,203.15,203.15,39.94,23.84,8.79,0.745,3.14,11.79865772,
Tb927.11.6170,"protein transport protein Sec31, putative,cytosolic coat protein, putative",Vesicular.transport,1,3696,1.0,667.67,667.67,131.27,137.05,37.08,0.8,5.21,46.35,
Tb927.3.960,"protein transport protein Sec61 gamma subunit, putative",Vesicular.transport,1,210,9.1,66.10,66.1,13,1.42,6.78,0.78,2.76,8.692307692,
Tb927.10.11980,QA-SNARE protein putative,Vesicular.transport,1,858,1.6,18.24,18.24,3.59,2.21,2.57,0.415,1.36,6.192771084,
Tb927.9.13030,QA-SNARE protein putative,Vesicular.transport,1,918,2.1,30.11,30.11,5.92,2.85,3.11,0.5,1.64,6.22,
Tb927.11.16830,"Rab-like 5, small G protein (RABL5) (in UPF1-TAP)",Vesicular.transport,1,660,5.3,89.56,89.56,17.61,3.31,5.02,0.79,2.33,6.35443038,
Tb927.5.4500,"ras-like small GTPase, putative (TbSAR1)",Vesicular.transport,2,585,8.8,232.59,465.18,91.46,10.37,17.73,0.595,4.15,29.79831933,
Tb927.7.3790,"ras-like small GTPase, putative (TBSRP)",Vesicular.transport,1,1734,2.0,28.32,28.32,5.57,2.82,1.63,0.595,0.7,2.739495798,
Tb927.10.12960,"ras-related protein rab-5,small GTPase, putative (RAB5A)",Vesicular.transport,2,693,9.1,87.46,174.92,34.39,3.78,5.46,0.65,2.45,8.4,
Tb927.7.7140,"Related to vacuolar sorting proteins, possibly involved in endosomal sorting. Top match for humanNP_057569, related to yeast vacuolar sorting protein VTA1 but not the best match.",Vesicular.transport,1,951,2.0,28.72,28.72,5.65,2.77,2.91,0.425,1.54,6.847058824,
Tb927.6.3500,"RME8 endosomal trafficking protein, clathrin-associated",Vesicular.transport,1,6711,0.8,516.22,516.22,101.49,125.14,18.65,0.765,4.22,24.37908497,
Tb927.9.1780,"sec1 family transport protein, putative (SLY1)",Vesicular.transport,1,1884,1.0,66.66,66.66,13.11,12.83,6.81,0.64,2.77,10.640625,
Tb927.1.3850,Sec61 beta family and TM domain,Vesicular.transport,1,162,33.9,46.93,46.93,9.23,0.27,1.68,0.68,0.75,2.470588235,
Tb927.9.10010,"Sec63 homologue, chaperone protein DNAj",Vesicular.transport,1,1473,0.9,108.80,108.8,21.39,23.29,15.81,0.615,3.98,25.70731707,
Tb927.5.3220,"signal peptidase type I, putative",Vesicular.transport,1,627,3.6,87.72,87.72,17.25,4.84,7.72,0.59,2.95,13.08474576,
Tb927.3.4910,"signal peptide peptidase, putative,aspartic peptidase, clan AD, family A22B, putative",Vesicular.transport,1,1059,5.0,157.04,157.04,30.88,6.17,5.83,0.435,2.54,13.40229885,
Tb927.11.5400,signal recognition particle 54 kDa (SRP54),Vesicular.transport,1,1464,1.8,168.64,168.64,33.16,18.69,12.76,0.615,3.67,20.74796748,
Tb927.10.15520,"signal recognition particle protein, putative",Vesicular.transport,1,2031,4.0,254.47,254.47,50.03,12.64,6.23,0.72,2.64,8.652777778,
Tb927.11.9890,"signal recognition particle receptor alpha subunit, putative",Vesicular.transport,1,1749,2.4,203.72,203.72,40.05,16.35,9.35,0.68,3.22,13.75,
Tb927.8.4610,small GTP-binding protein Rab1 (Trab1),Vesicular.transport,1,657,4.7,31.71,31.71,6.23,1.33,2.03,0.625,1.02,3.248,
Tb927.8.890,"small GTP-binding protein Rab1, putative",Vesicular.transport,1,627,10.2,446.70,446.7,87.82,8.58,13.69,0.875,3.78,15.64571429,
Tb927.8.4330,small GTP-binding protein Rab11 (RAB11),Vesicular.transport,1,651,6.6,150.71,150.71,29.63,4.48,6.88,0.835,2.78,8.239520958,
Tb927.8.4770,small GTP-binding protein Rab18 (TbRAB18),Vesicular.transport,1,648,2.5,33.63,33.63,6.61,2.61,4.02,0.62,2.01,6.483870968,
Tb927.6.3040,"small GTP-binding protein Rab28, putative,Ras- related protein Rab-26 (Rab26), putative",Vesicular.transport,1,723,5.7,73.49,73.49,14.45,2.55,3.53,0.6,1.82,5.883333333,
Tb927.2.2130,"small GTP-binding protein RAB6, putative (25N14.200)",Vesicular.transport,1,693,4.8,88.25,88.25,17.35,3.6,5.19,0.815,2.38,6.36809816,
Tb927.8.4620,"small GTP-binding protein Rab7, putative (Trab7)",Vesicular.transport,1,660,2.1,23.68,23.68,4.66,2.23,3.38,0.5,1.76,6.76,
Tb927.8.8140,"small GTP-binding rab protein, putative",Vesicular.transport,2,1899,0.5,5.96,11.92,2.34,4.72,2.49,0.485,1.32,5.134020619,
Tb927.4.4220,"small GTP-binding rab protein, putative (TbRX2)",Vesicular.transport,2,1692,0.9,28.61,57.22,11.25,13.12,7.76,0.64,2.96,12.125,
Tb927.11.15030,small GTPase (X3),Vesicular.transport,1,600,4.2,72.98,72.98,14.35,3.42,5.7,0.695,2.51,8.201438849,
Tb927.10.8560,"small GTPase, putative (RAB23)",Vesicular.transport,1,681,2.5,14.73,14.73,2.9,1.15,1.68,0.52,0.75,3.230769231,
Tb927.11.4570,"small GTPase, putative, Rab5b, putative (RAB5B)",Vesicular.transport,2,612,2.3,17.00,34,6.68,2.89,4.72,0.48,2.24,9.833333333,
Tb927.9.15930,"small GTPase, putative,GTP-binding protein, putative (RAB1B)",Vesicular.transport,2,1020,1.3,4.75,9.5,1.87,1.41,1.38,0.365,0.46,3.780821918,
Tb927.9.11000,"small GTPase, putative,GTP-binding protein, putative (RAB7)",Vesicular.transport,1,661,7.6,74.18,74.18,14.58,1.91,2.89,0.785,1.53,3.681528662,
Tb927.11.15240,"small GTPase, putative,ras-related protein rab-2a, putative (RAB2)",Vesicular.transport,1,639,3.3,57.38,57.38,11.28,3.37,5.27,0.795,2.4,6.628930818,
Tb927.10.1520,"small GTPase, putative,Ras-related protein, putative (RAB21)",Vesicular.transport,1,810,2.6,25.57,25.57,5.03,1.96,2.42,0.52,1.28,4.653846154,
Tb927.11.13750,"small GTPase, putative,ras-related rab-4 (RAB4)",Vesicular.transport,1,597,3.3,49.55,49.55,9.74,2.94,4.93,0.585,2.3,8.427350427,
Tb927.10.15500,"SNARE protein, putative",Vesicular.transport,1,714,1.6,9.91,9.91,1.95,1.2,1.68,0.43,0.75,3.906976744,
Tb927.1.3110,"soluble N-ethylmaleimide sensitive factor (NSF) attachment protein, putative",Vesicular.transport,2,846,7.1,67.96,135.92,26.72,3.75,4.43,0.635,2.15,6.976377953,
Tb927.10.15130,"synaptobrevin-type vesicle transport protein, SLY2 (SEC22)",Vesicular.transport,1,768,1.8,42.76,42.76,8.41,4.59,5.98,0.545,2.58,10.97247706,
Tb927.7.3490,"synaptojanin (N-terminal domain), putative",Vesicular.transport,1,2463,1.2,28.34,28.34,5.57,4.83,1.96,0.505,0.97,3.881188119,
Tb927.9.10640,"synaptojanin (N-terminal domain), putative",Vesicular.transport,1,2268,1.4,68.46,68.46,13.46,9.79,4.32,0.65,2.11,6.646153846,
Tb927.11.5490,"synaptojanin (N-terminal domain), putative",Vesicular.transport,1,4683,0.3,27.86,27.86,5.48,20.96,4.48,0.605,2.16,7.404958678,
Tb927.10.14200,syntaxin 5,Vesicular.transport,1,984,1.9,19.52,19.52,3.84,2,2.04,0.41,1.03,4.975609756,
Tb927.9.1970,"syntaxin binding protein 1, putative",Vesicular.transport,1,1929,1.0,56.48,56.48,11.1,11.06,5.74,0.59,2.52,9.728813559,
Tb927.9.3820,"syntaxin, putative",Vesicular.transport,1,855,2.2,12.73,12.73,2.5,1.14,1.33,0.34,0.41,3.911764706,
Tb927.3.5570,"syntaxin, putative",Vesicular.transport,1,783,3.7,36.68,36.68,7.21,1.95,2.49,0.54,1.32,4.611111111,
Tb927.10.1830,"syntaxin, putative",Vesicular.transport,1,693,2.9,30.96,30.96,6.09,2.13,3.07,0.53,1.62,5.79245283,
Tb927.10.14690,"syntaxin, putative",Vesicular.transport,1,972,1.0,22.21,22.21,4.37,4.58,4.71,0.42,2.24,11.21428571,
Tb927.11.8790,"target SNARE, putative",Vesicular.transport,1,957,4.2,32.04,32.04,6.3,1.48,1.55,0.59,0.63,2.627118644,
Tb927.8.5030,"trafficking protein particle complex subunit 3, (TRAPP) component, Bet3",Vesicular.transport,1,582,6.2,67.92,67.92,13.35,2.15,3.7,0.605,1.89,6.115702479,
Tb927.9.12150,"transport protein particle (TRAPP) subunit, putative",Vesicular.transport,1,609,5.6,30.28,30.28,5.95,1.06,1.75,0.655,0.81,2.671755725,
Tb927.7.6440,v-SNARE like protein,Vesicular.transport,1,669,1.4,10.04,10.04,1.97,1.41,2.1,0.515,1.07,4.077669903,
Tb927.6.3790,"valosin-containing protein homolog, putative,AAA ATPase",Vesicular.transport,1,2388,1.1,46.26,46.26,9.1,8.09,3.39,0.535,1.76,6.336448598,
Tb927.10.5770,"valosin-containing protein homolog,Transitional endoplasmic reticulum ATPase, putative (VCP)",Vesicular.transport,1,2343,7.4,1033.23,1033.23,203.14,27.47,11.72,0.85,3.55,13.78823529,
Tb927.2.5120,"vesicle-associated membrane protein, in Tc vacuolar proteome",Vesicular.transport,1,666,4.9,49.53,49.53,9.74,1.98,2.98,0.605,1.58,4.925619835,
Tb927.9.14080,"vesicle-associated membrane protein, putative",Vesicular.transport,1,618,7.2,81.64,81.64,16.05,2.23,3.61,0.665,1.85,5.428571429,
Tb927.5.3560,"vesicle-associated membrane protein, putative (VAMP)",Vesicular.transport,2,651,6.3,70.14,140.28,27.58,4.4,6.76,0.725,2.76,9.324137931,
Tb927.10.790,"vesicle-associated membrane protein, putative (VAMP)",Vesicular.transport,2,720,2.4,64.52,129.04,25.37,10.63,14.77,0.7,3.88,21.1,
Tb927.11.3080,"vesicular protein trafficking mediator, putative",Vesicular.transport,1,615,10.3,154.13,154.13,30.3,2.95,4.79,0.75,2.26,6.386666667,
Tb927.11.1660,"vesicular transport protein (CDC48 homologue), putative",Vesicular.transport,1,1989,1.4,88.72,88.72,17.44,12.58,6.33,0.67,2.66,9.447761194,
Tb927.1.1560,"vesicular-fusion protein nsf, putative,N-ethylmaleimide sensitive factor (NsF)",Vesicular.transport,1,2178,1.9,86.78,86.78,17.06,9.15,4.2,0.615,2.07,6.829268293,
Tb927.11.1680,"vesicular-fusion protein SEC18, putative",Vesicular.transport,1,2667,2.2,97.05,97.05,19.08,8.7,3.26,0.61,1.7,5.344262295,
Tb927.10.8400,"Vip36 lectin-like, ERGIC53 paralogue, ER quality control",Vesicular.transport,1,885,2.1,36.32,36.32,7.14,3.38,3.82,0.545,1.93,7.009174312,
Tb927.8.5580,VPS13,Vesicular.transport,1,14433,0.4,477.86,477.86,93.95,214.94,14.89,0.955,3.9,15.59162304,
Tb927.11.10700,"Yos9-like, ER quality control",Vesicular.transport,1,789,2.8,29.19,29.19,5.74,2.03,2.58,0.515,1.37,5.009708738,
Tb927.11.8330,"hypothetical protein, conserved, 4 C2H2 Zn fingers",Zinc.finger,1,1305,0.4,0.60,0.6,0.12,0.31,0.24,0.28,-2.06,0.857142857,
Tb927.10.5830,"hypothetical protein, conserved, 4-5 RanBP2 Zn fingers, matches varios yeast/human proteins with motif",Zinc.finger,1,1641,4.9,111.34,111.34,21.89,4.51,2.75,0.68,1.46,4.044117647,
Tb927.10.13610,"hypothetical protein, conserved, 6 C2HC Zn fingers, Zn ribbon, matches other proteins with motif",Zinc.finger,1,2199,2.1,25.44,25.44,5,2.4,1.09,0.425,0.12,2.564705882,
Tb927.6.350,"hypothetical protein, conserved, T. brucei specific, 2 C2H2 Zn fingers",Zinc.finger,1,858,0.7,0.48,0.48,0.09,0.13,0.16,0.22,-2.64,0.727272727,
Tb927.11.660,"hypothetical protein, conserved. predicted zinc finger protein",Zinc.finger,1,1554,2.5,24.77,24.77,4.87,1.93,1.24,0.55,0.31,2.254545455,
Tb927.10.5820,predicted RanGDP binding protein,Zinc.finger,1,3012,3.0,74.83,74.83,14.71,4.86,1.61,0.48,0.69,3.354166667,
Tb927.10.4160,predicted zinc finger protein,Zinc.finger,1,1164,0.8,7.95,7.95,1.56,1.85,1.59,0.365,0.67,4.356164384,
Tb927.10.12940,predicted zinc finger protein,Zinc.finger,1,975,2.3,171.55,171.55,33.73,14.79,15.17,0.785,3.92,19.32484076,
Tb927.10.6380,ring finger containing protein,Zinc.finger,1,660,4.7,89.05,89.05,17.51,3.69,5.59,0.59,2.48,9.474576271,
Tb927.10.7400,Zinc finger domain found in E3 ubiquitin ligases,Zinc.finger,1,1563,2.1,25.84,25.84,5.08,2.45,1.56,0.535,0.64,2.91588785,
Tb927.6.3620,"zinc finger protein, putative",Zinc.finger,1,1230,0.8,0.96,0.96,0.19,0.24,0.19,0.25,-2.4,0.76,
Tb927.7.690,"zinc finger protein, putative",Zinc.finger,1,1467,0.8,2.58,2.58,0.51,0.65,0.45,0.525,-1.15,0.857142857,
Tb927.7.1840,"zinc finger protein, putative",Zinc.finger,2,882,11.2,13.82,27.64,5.43,0.48,0.55,0.37,-0.86,1.486486486,
Tb927.7.1880,"zinc finger protein, putative",Zinc.finger,2,882,11.2,14.25,28.5,5.6,0.5,0.57,0.37,-0.81,1.540540541,
Tb927.10.15610,"zinc finger protein, putative",Zinc.finger,1,2115,0.7,20.49,20.49,4.03,6.11,2.89,0.635,1.53,4.551181102,
Tb927.11.16060,"zinc finger protein, putative,predicted zinc finger protein",Zinc.finger,1,1593,1.2,15.86,15.86,3.12,2.53,1.59,0.54,0.67,2.944444444,
Tb927.6.4810,"zinc-binding protein (Yippee), putative",Zinc.finger,1,354,4.7,19.75,19.75,3.88,0.82,2.32,0.575,1.21,4.034782609,
Tb927.5.2720,zinc-finger protein ZPR1,Zinc.finger,1,1416,3.5,140.51,140.51,27.63,7.92,5.59,0.72,2.48,7.763888889,
Tb927.6.3540,"zinc-finger protein, conserved",Zinc.finger,1,1101,6.1,98.59,98.59,19.38,3.18,2.89,0.71,1.53,4.070422535,
Tb927.3.4220,"Zn-finger domain protein, putative",Zinc.finger,1,2601,1.2,77.63,77.63,15.26,12.48,4.8,0.705,2.26,6.808510638,
Tb927.9.6650,"Aarsdi, homologue of alanyl tRNa editing protein",ZUnknown,1,1407,5.3,72.39,72.39,14.23,2.68,1.91,0.59,0.93,3.237288136,
Tb927.10.9300,adiponectin receptor protein 1,ZUnknown,2,924,1.4,27.14,54.28,10.67,7.4,8.01,0.385,3,20.80519481,
Tb927.4.3500,Amastin-like protein,ZUnknown,1,531,11.4,342.60,342.6,67.36,5.9,11.1,0.815,3.47,13.6196319,
Tb927.4.1300,Amidinotransferase superfamily protein,ZUnknown,1,1125,38.1,2343.97,2343.97,460.84,12.08,10.74,0.945,3.42,11.36507937,
Tb927.11.16160,ATP binding protein-like protein,ZUnknown,2,570,9.3,125.59,251.18,49.38,5.34,9.36,0.725,3.23,12.91034483,
Tb927.10.7360,"ATP-binding cassette protein, putative",ZUnknown,2,1941,1.5,19.72,39.44,7.75,5.02,2.59,0.465,1.37,5.569892473,
Tb927.9.10670,"Bardet-Biedl syndrome 1 protein homolog (BBS1-like protein 1), putative",ZUnknown,1,1794,1.2,23.57,23.57,4.63,3.76,2.1,0.43,1.07,4.88372093,
Tb927.10.6830,"Bardet-Biedl syndrome 4 protein homolog (BBS4-like protein 4), putative",ZUnknown,1,1401,2.4,19.02,19.02,3.74,1.57,1.12,0.485,0.16,2.309278351,
Tb927.11.6920,CAP186 clathrin-associated,ZUnknown,1,4998,0.8,216.05,216.05,42.48,53.13,10.63,0.785,3.41,13.54140127,
Tb927.11.12860,CARP2,ZUnknown,1,708,0.9,36.72,36.72,7.22,8.49,12,#N/A,3.58,#N/A,
Tb927.8.3860,CIA1 Cytosolic iron-sulphur cluster biogenesis,ZUnknown,1,1251,4.5,41.37,41.37,8.13,1.82,1.45,0.56,0.54,2.589285714,
Tb927.6.3280,"cyclosome subunit 1, putative",ZUnknown,1,5514,1.0,287.29,287.29,56.48,58.89,10.68,0.69,3.42,15.47826087,
Tb927.10.12820,Cysteine proteinase domains by interpro but not NCBI,ZUnknown,1,3042,0.9,152.31,152.31,29.95,32.09,10.55,0.645,3.4,16.35658915,
Tb927.4.4320,"divalent cation tolerance protein, putative",ZUnknown,1,351,3.0,19.32,19.32,3.8,1.29,3.67,0.73,1.88,5.02739726,
Tb927.8.1920,DOT1A,ZUnknown,1,888,4.3,55.17,55.17,10.85,2.51,2.82,0.515,1.5,5.475728155,
Tb927.9.2840,Fam77 cell surface phylome protein,ZUnknown,8,1182,1.7,0.78,6.24,1.23,0.74,0.62,0.145,-0.69,4.275862069,
Tb927.9.1750,"Fibronectin-domain protein (interdomain contacts, cytokine receptor motif) but not a fibronectin homologue",ZUnknown,1,13440,0.6,1014.35,1014.35,199.43,344.44,25.63,0.965,4.68,26.55958549,
Tb927.5.2300,"formin, putative",ZUnknown,1,2832,1.1,46.68,46.68,9.18,8.3,2.93,0.6,1.55,4.883333333,
Tb927.11.5740,"formin, putative",ZUnknown,1,3015,0.9,37.65,37.65,7.4,8.42,2.79,0.55,1.48,5.072727273,
Tb927.10.6650,"G10 protein homologue, putative, unknown function",ZUnknown,1,726,1.8,23.39,23.39,4.6,2.57,3.54,0.48,1.82,7.375,
Tb927.8.560,"GEM1, putative",ZUnknown,1,1734,4.4,141.36,141.36,27.79,6.33,3.65,0.62,1.87,5.887096774,
Tb927.9.9150,"GTP-binding protein, putative",ZUnknown,1,1356,2.0,19.55,19.55,3.84,1.95,1.44,0.4,0.53,3.6,
Tb927.7.1720,"HIRA-interacting protein 5, putative (HIRIP5)",ZUnknown,1,843,2.6,36.44,36.44,7.16,2.77,3.29,0.54,1.72,6.092592593,
Tb927.10.5290,"HIRA-interacting protein 5, putative,predicted NifU-like protein",ZUnknown,1,786,3.7,16.43,16.43,3.23,0.87,1.1,0.535,0.14,2.056074766,
Tb927.10.14810,Homologue of yeast MBS1 - Transcriptional coactivator that bridges the DNA-binding region of Gcn4p and TATA-binding protein Spt15p; suppressor of frameshift mutations. Pedominantly in yeast cytosol. multiprotein binding factor and helix-turn-helix domain. (in UPF1-TAP),ZUnknown,1,483,22.7,210.00,210,41.29,1.82,3.76,0.805,1.91,4.670807453,
Tb927.6.2650,"Homologue of yeast SGD1, small ribosomal subunit biogenesis. MA3 domain",ZUnknown,1,2274,2.1,130.28,130.28,25.61,12.4,5.45,0.62,2.45,8.790322581,
Tb927.9.7700,"huntingtin interacting protein (HIP), putative",ZUnknown,1,2463,1.8,82.51,82.51,16.22,8.87,3.6,0.595,1.85,6.050420168,
Tb927.8.2960,"HUS1 protein, unknown function.",ZUnknown,1,1665,1.8,12.24,12.24,2.41,1.32,0.79,0.485,-0.34,1.628865979,
Tb927.9.6530,hypothetical protein,ZUnknown,1,3066,0.4,37.76,37.76,7.42,19.06,6.22,#N/A,2.64,#N/A,
Tb927.11.9410,hypothetical protein,ZUnknown,1,492,3.5,0.00,0,0,0,0,0.71,#NUM!,0,
Tb927.10.3410,hypothetical protein,ZUnknown,1,324,1.2,0.00,0,0,0,0,0.76,#NUM!,0,
Tb927.7.7350,hypothetical protein,ZUnknown,1,207,6.3,0.00,0,0,0,0,0.715,#NUM!,0,
Tb927.10.7660,hypothetical protein,ZUnknown,1,411,0.6,0.00,0,0,0,0,0.14,#NUM!,0,
Tb927.10.7170,hypothetical protein,ZUnknown,1,339,0.3,0.00,0,0,0,0,0.14,#NUM!,0,
Tb927.10.12610,hypothetical protein,ZUnknown,1,336,0.7,0.00,0,0,0,0,0.78,#NUM!,0,
Tb927.11.15390,hypothetical protein,ZUnknown,1,507,1.1,0.00,0,0,0,0,0.615,#NUM!,0,
Tb927.3.5670,hypothetical protein,ZUnknown,1,672,0.2,0.00,0,0,0,0,0.15,#NUM!,0,
Tb927.4.4390,hypothetical protein,ZUnknown,1,555,1.3,0.00,0,0,0,0,0.33,#NUM!,0,
Tb927.7.6010,hypothetical protein,ZUnknown,2,552,0.2,0.00,0,0,0,0,0.23,#NUM!,0,
Tb927.1.2420,hypothetical protein,ZUnknown,1,531,0.1,0.00,0,0,0,0,0.435,#NUM!,0,
Tb927.10.14050,hypothetical protein,ZUnknown,1,393,0.9,0.00,0,0,0,0,0.075,#NUM!,0,
Tb927.10.6470,hypothetical protein,ZUnknown,1,552,1.6,0.08,0.08,0.02,0.01,0.02,0.62,-5.64,0.032258065,
Tb927.1.3550,hypothetical protein,ZUnknown,1,1092,1.4,0.08,0.08,0.02,0.01,0.01,0.26,-6.64,0.038461538,
Tb927.10.2170,hypothetical protein,ZUnknown,1,192,3.4,0.08,0.08,0.02,0.01,0.03,0.72,-5.06,0.041666667,
Tb927.4.2100,hypothetical protein,ZUnknown,1,462,2.1,0.08,0.08,0.02,0.01,0.02,0.335,-5.64,0.059701493,
Tb927.7.7020,hypothetical protein,ZUnknown,1,555,1.5,0.21,0.21,0.04,0.03,0.05,0.7,-4.32,0.071428571,
Tb927.9.7270,hypothetical protein,ZUnknown,1,381,1.9,0.16,0.16,0.03,0.02,0.04,0.435,-4.64,0.091954023,
Tb927.11.2480,hypothetical protein,ZUnknown,1,564,1.0,0.21,0.21,0.04,0.04,0.07,0.745,-3.84,0.093959732,
Tb927.5.1480,hypothetical protein,ZUnknown,1,483,0.4,0.09,0.09,0.02,0.04,0.09,0.8,-3.47,0.1125,
Tb927.10.9610,hypothetical protein,ZUnknown,1,498,1.0,0.27,0.27,0.05,0.05,0.1,0.83,-3.32,0.120481928,
Tb927.1.2760,hypothetical protein,ZUnknown,1,114,5.5,0.32,0.32,0.06,0.01,0.1,0.73,-3.32,0.136986301,
Tb927.7.6330,hypothetical protein,ZUnknown,1,516,0.9,0.27,0.27,0.05,0.06,0.11,0.79,-3.18,0.139240506,
Tb927.7.6780,hypothetical protein,ZUnknown,1,555,1.0,0.42,0.42,0.08,0.08,0.14,0.755,-2.84,0.185430464,
Tb927.11.1920,hypothetical protein,ZUnknown,1,717,0.7,0.04,0.04,0.01,0.01,0.02,0.105,-5.64,0.19047619,
Tb927.5.1740,hypothetical protein,ZUnknown,1,456,2.9,0.92,0.92,0.18,0.06,0.13,0.675,-2.94,0.192592593,
Tb927.10.9630,hypothetical protein,ZUnknown,1,483,1.0,0.46,0.46,0.09,0.09,0.18,0.785,-2.47,0.229299363,
Tb927.1.3890,hypothetical protein,ZUnknown,1,486,0.3,0.16,0.16,0.03,0.1,0.2,0.82,-2.32,0.243902439,
Tb927.5.540,hypothetical protein,ZUnknown,1,615,1.1,0.61,0.61,0.12,0.11,0.18,0.685,-2.47,0.262773723,
Tb927.10.5730,hypothetical protein,ZUnknown,1,594,0.6,0.42,0.42,0.08,0.14,0.23,0.715,-2.12,0.321678322,
Tb927.11.6650,hypothetical protein,ZUnknown,1,714,0.3,0.04,0.04,0.01,0.03,0.04,0.115,-4.64,0.347826087,
Tb927.8.500,hypothetical protein,ZUnknown,1,945,1.0,0.19,0.19,0.04,0.04,0.04,0.115,-4.64,0.347826087,
Tb927.5.2010,hypothetical protein,ZUnknown,1,579,1.3,0.44,0.44,0.09,0.07,0.12,0.31,-3.06,0.387096774,
Tb927.7.350,hypothetical protein,ZUnknown,1,720,1.2,1.03,1.03,0.2,0.16,0.23,0.425,-2.12,0.541176471,
Tb927.7.3690,hypothetical protein,ZUnknown,1,477,0.7,0.59,0.59,0.12,0.17,0.36,0.63,-1.47,0.571428571,
Tb927.9.2990,hypothetical protein,ZUnknown,1,657,8.4,7.50,7.5,1.47,0.18,0.27,0.42,-1.89,0.642857143,
Tb927.4.2610,hypothetical protein,ZUnknown,1,465,0.6,0.72,0.72,0.14,0.23,0.5,0.775,-1,0.64516129,
Tb927.10.1760,hypothetical protein,ZUnknown,1,495,1.8,0.52,0.52,0.1,0.06,0.11,0.155,-3.18,0.709677419,
Tb927.3.4830,hypothetical protein,ZUnknown,1,675,0.9,0.51,0.51,0.1,0.11,0.17,0.235,-2.56,0.723404255,
Tb927.7.6710,hypothetical protein,ZUnknown,1,483,0.6,0.46,0.46,0.09,0.16,0.32,0.425,-1.64,0.752941176,
Tb927.7.7390,hypothetical protein,ZUnknown,1,303,1.7,1.30,1.3,0.26,0.15,0.51,0.61,-0.97,0.836065574,
Tb927.6.1300,hypothetical protein,ZUnknown,1,567,0.8,0.19,0.19,0.04,0.05,0.09,0.105,-3.47,0.857142857,
Tb927.8.4490,hypothetical protein,ZUnknown,1,1266,0.6,0.50,0.5,0.1,0.18,0.14,0.16,-2.84,0.875,
Tb927.7.7310,hypothetical protein,ZUnknown,1,663,1.1,2.30,2.3,0.45,0.41,0.62,0.665,-0.69,0.932330827,
Tb927.7.5070,hypothetical protein,ZUnknown,1,1920,4.3,17.13,17.13,3.37,0.78,0.41,0.435,-1.29,0.942528736,
Tb927.10.4410,hypothetical protein,ZUnknown,1,462,2.6,4.37,4.37,0.86,0.33,0.72,0.75,-0.47,0.96,
Tb927.10.2850,hypothetical protein,ZUnknown,1,1137,0.6,0.65,0.65,0.13,0.24,0.21,0.205,-2.25,1.024390244,
Tb927.11.4790,hypothetical protein,ZUnknown,1,495,1.4,1.26,1.26,0.25,0.18,0.35,0.33,-1.51,1.060606061,
Tb927.10.9450,hypothetical protein,ZUnknown,1,753,0.5,0.83,0.83,0.16,0.32,0.42,0.395,-1.25,1.063291139,
Tb927.8.5910,hypothetical protein,ZUnknown,1,915,0.7,0.72,0.72,0.14,0.19,0.2,0.185,-2.32,1.081081081,
Tb927.8.7960,hypothetical protein,ZUnknown,1,1341,0.7,1.27,1.27,0.25,0.34,0.26,0.24,-1.94,1.083333333,
Tb927.9.15850,hypothetical protein,ZUnknown,1,687,1.6,1.80,1.8,0.35,0.22,0.32,0.275,-1.64,1.163636364,
Tb927.3.4180,hypothetical protein,ZUnknown,1,1227,0.8,2.07,2.07,0.41,0.49,0.4,0.34,-1.32,1.176470588,
Tb927.5.620,hypothetical protein,ZUnknown,1,1266,1.2,2.41,2.41,0.47,0.38,0.3,0.245,-1.74,1.224489796,
Tb927.10.7530,hypothetical protein,ZUnknown,1,450,0.7,1.00,1,0.2,0.27,0.6,0.475,-0.74,1.263157895,
Tb927.5.3130,hypothetical protein,ZUnknown,1,1101,0.7,2.78,2.78,0.55,0.83,0.75,0.555,-0.42,1.351351351,
Tb927.10.1780,hypothetical protein,ZUnknown,1,222,0.2,0.04,0.04,0.01,0.05,0.23,0.165,-2.12,1.393939394,
Tb927.4.2810,hypothetical protein,ZUnknown,1,798,0.8,2.86,2.86,0.56,0.7,0.88,0.63,-0.18,1.396825397,
Tb927.9.10650,hypothetical protein,ZUnknown,1,396,0.7,0.56,0.56,0.11,0.16,0.41,0.285,-1.29,1.438596491,
Tb927.3.2720,hypothetical protein,ZUnknown,1,1305,1.0,3.61,3.61,0.71,0.69,0.53,0.36,-0.92,1.472222222,
Tb927.5.2870,hypothetical protein,ZUnknown,1,1443,0.4,0.88,0.88,0.17,0.46,0.32,0.21,-1.64,1.523809524,
Tb927.6.2950,hypothetical protein,ZUnknown,1,894,2.9,7.38,7.38,1.45,0.49,0.55,0.35,-0.86,1.571428571,
Tb927.10.1670,hypothetical protein,ZUnknown,1,378,0.5,0.17,0.17,0.03,0.06,0.15,0.095,-2.74,1.578947368,
Tb927.3.3600,hypothetical protein,ZUnknown,1,486,1.7,3.07,3.07,0.6,0.35,0.71,0.43,-0.49,1.651162791,
