Gene ID	Genomic Location (Gene)	Product Description	Gene Type	Input ID	
Tb927.11.9750	Tb927_11_v5.1:2,636,440..2,638,491(-)	Protein of unknown function (DUF498/DUF598), putative	protein coding	Tb927.11.9750	
Tb927.11.9760	Tb927_11_v5.1:2,638,861..2,640,308(-)	hypothetical protein, conserved	protein coding	Tb927.11.9760	
Tb927.11.9770	Tb927_11_v5.1:2,640,426..2,643,477(-)	hypothetical protein, conserved	protein coding	Tb927.11.9770	
Tb927.11.9780	Tb927_11_v5.1:2,643,800..2,647,062(-)	Nucleoporin NUP119	protein coding	Tb927.11.9780	
Tb927.11.9790	Tb927_11_v5.1:2,647,185..2,647,936(-)	calmodulin, putative	protein coding	Tb927.11.9790	
Tb927.11.9800	Tb927_11_v5.1:2,648,182..2,649,284(-)	hypothetical protein, conserved	protein coding	Tb927.11.9800	
Tb927.11.9810	Tb927_11_v5.1:2,649,403..2,650,229(-)	NUDIX hydrolase 3, putative	protein coding	Tb927.11.9810	
Tb927.11.9820	Tb927_11_v5.1:2,657,286..2,659,084(+)	TZ ciliopathy protein (tectonic), putative	protein coding	Tb927.11.9820	
Tb927.11.9830	Tb927_11_v5.1:2,659,558..2,660,181(+)	LSU ribosomal protein, mitochondrial, putative	protein coding	Tb927.11.9830	
Tb927.11.9840	Tb927_11_v5.1:2,660,365..2,661,702(+)	hypothetical protein, conserved	protein coding	Tb927.11.9840	
Tb927.11.9850	Tb927_11_v5.1:2,661,812..2,662,190(+)	hypothetical protein, conserved	protein coding	Tb927.11.9850	
Tb927.11.9860	Tb927_11_v5.1:2,662,310..2,662,811(+)	EF-hand domain pair, putative	protein coding	Tb927.11.9860	
Tb927.11.9870	Tb927_11_v5.1:2,663,190..2,665,748(+)	Telomere-associated protein 1	protein coding	Tb927.11.9870	
Tb927.11.9880	Tb927_11_v5.1:2,666,910..2,668,322(+)	Protein of unknown function (DUF2009), putative	protein coding	Tb927.11.9880	
Tb927.11.9890	Tb927_11_v5.1:2,668,583..2,671,253(+)	signal recognition particle receptor alpha subunit, putative	protein coding	Tb927.11.9890	
Tb927.11.990	Tb927_11_v5.1:254,960..257,700(+)	autophagy protein APG9, putative	protein coding	Tb927.11.990	
Tb927.11.9900	Tb927_11_v5.1:2,671,400..2,673,760(+)	phytoene synthase, putative	protein coding	Tb927.11.9900	
Tb927.11.9910	Tb927_11_v5.1:2,673,884..2,675,013(+)	Domain of unknown function (DUF3846)/TPR repeat, putative	protein coding	Tb927.11.9910	
Tb927.11.9930	Tb927_11_v5.1:2,678,369..2,679,249(+)	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative	protein coding	Tb927.11.9930	
Tb927.11.9940	Tb927_11_v5.1:2,679,769..2,680,443(+)	hypothetical protein, conserved	protein coding	Tb927.11.9940	
Tb927.11.9950	Tb927_11_v5.1:2,680,655..2,683,043(+)	hypothetical protein, conserved	protein coding	Tb927.11.9950	
Tb927.11.9960	Tb927_11_v5.1:2,683,244..2,684,361(+)	Protein of unknown function (DUF2870), putative	protein coding	Tb927.11.9960	
Tb927.11.9970	Tb927_11_v5.1:2,684,496..2,685,139(+)	Small acidic protein family, putative	protein coding	Tb927.11.9970	
Tb927.11.9980	Tb927_11_v5.1:2,685,602..2,689,289(+)	2-oxoglutarate dehydrogenase E1 component, putative	protein coding	Tb927.11.9980	
Tb927.11.9990	Tb927_11_v5.1:2,690,441..2,692,443(+)	glycosyl transferase-like protein	protein coding	Tb927.11.9990	
Tb927.2.1380	Tb927_02_v5.1:250,916..257,272(+)	leucine-rich repeat protein (LRRP), putative	protein coding	Tb927.2.1380	
Tb927.2.1560	Tb927_02_v5.1:304,562..305,320(-)	peptidyl-prolyl cis-trans isomerase, putative	protein coding	Tb927.2.1560	
Tb927.2.1600	Tb927_02_v5.1:305,850..307,642(-)	invariant surface glycoprotein, putative	protein coding	Tb927.2.1600	
Tb927.2.1700	Tb927_02_v5.1:317,193..321,148(+)	Enriched in surface-labeled proteome protein 10	protein coding	Tb927.2.1700	
Tb927.2.1720	Tb927_02_v5.1:321,262..321,705(+)	hypothetical protein, conserved	protein coding	Tb927.2.1720	
Tb927.2.1730	Tb927_02_v5.1:321,812..322,641(+)	hypothetical protein, conserved	protein coding	Tb927.2.1730	
Tb927.2.1740	Tb927_02_v5.1:322,758..325,262(+)	hypothetical protein, conserved	protein coding	Tb927.2.1740	
Tb927.2.1760	Tb927_02_v5.1:325,383..328,298(+)	hypothetical protein, conserved	protein coding	Tb927.2.1760	
Tb927.2.1780	Tb927_02_v5.1:328,953..330,346(+)	GlcNAc-PI synthesis protein	protein coding	Tb927.2.1780	
Tb927.2.1790	Tb927_02_v5.1:330,793..331,314(+)	hypothetical protein, conserved	protein coding	Tb927.2.1790	
Tb927.2.1800	Tb927_02_v5.1:331,434..335,342(+)	DNA polymerase delta catalytic subunit, putative	protein coding	Tb927.2.1800	
Tb927.2.1810	Tb927_02_v5.1:335,451..339,172(+)	chromatin-remodeling complex atpase chain iswi	protein coding	Tb927.2.1810	
Tb927.2.1820	Tb927_02_v5.1:339,492..344,261(+)	CAMK/CAMKL family protein kinase, putative	protein coding	Tb927.2.1820	
Tb927.2.1850	Tb927_02_v5.1:344,878..346,852(+)	Tetratricopeptide repeat, putative	protein coding	Tb927.2.1850	
Tb927.2.1860	Tb927_02_v5.1:347,003..349,648(+)	RNA editing mediator complex protein 2	protein coding	Tb927.2.1860	
Tb927.2.1890	Tb927_02_v5.1:350,619..352,677(+)	E2-like ubiquitin-conjugation enzyme	protein coding	Tb927.2.1890	
Tb927.2.1920	Tb927_02_v5.1:354,591..356,826(+)	expression site-associated gene 5 (ESAG5) protein, putative	protein coding	Tb927.2.1920	
Tb927.2.2020	Tb927_02_v5.1:387,550..388,705(-)	expression site-associated gene 3 (ESAG3) protein, putative	protein coding	Tb927.2.2020	
Tb927.2.2090	Tb927_02_v5.1:398,551..402,324(-)	SUMO-interacting motif-containing protein	protein coding	Tb927.2.2090	
Tb927.2.2120	Tb927_02_v5.1:403,883..405,837(-)	Serine/threonine-protein kinase NEK22, putative	protein coding	Tb927.2.2120	
Tb927.2.2130	Tb927_02_v5.1:406,718..408,492(-)	small GTP-binding protein RAB6, putative	protein coding	Tb927.2.2130	
Tb927.2.2140	Tb927_02_v5.1:408,834..409,571(-)	hypothetical protein, conserved	protein coding	Tb927.2.2140	
Tb927.2.2160	Tb927_02_v5.1:410,840..412,901(-)	paraflagellar rod component, putative	protein coding	Tb927.2.2160	
Tb927.2.2180	Tb927_02_v5.1:413,434..414,656(-)	ribosomal RNA processing protein 41B	protein coding	Tb927.2.2180	
Tb927.2.2190	Tb927_02_v5.1:414,868..418,898(-)	histone deacetylase 3	protein coding	Tb927.2.2190	
Tb927.2.2200	Tb927_02_v5.1:419,054..420,295(-)	hypothetical protein, conserved	protein coding	Tb927.2.2200	
Tb927.2.2210	Tb927_02_v5.1:420,517..423,689(-)	hypothetical protein, conserved	protein coding	Tb927.2.2210	
Tb927.2.2220	Tb927_02_v5.1:424,198..425,229(-)	hypothetical protein, conserved	protein coding	Tb927.2.2220	
Tb927.2.2230	Tb927_02_v5.1:425,387..427,131(-)	hypothetical protein, conserved	protein coding	Tb927.2.2230	
Tb927.2.2240	Tb927_02_v5.1:427,699..431,815(-)	exportin-T, putative	protein coding	Tb927.2.2240	
Tb927.2.2260	Tb927_02_v5.1:433,365..447,032(-)	phosphatidylinositol kinase related protein, putative	protein coding	Tb927.2.2260	
Tb927.2.2270	Tb927_02_v5.1:447,296..448,246(-)	hypothetical protein, conserved	protein coding	Tb927.2.2270	
Tb927.2.2340	Tb927_02_v5.1:452,380..456,652(-)	Glycerophosphoryl diester phosphodiesterase family, putative	protein coding	Tb927.2.2340	
Tb927.2.2360	Tb927_02_v5.1:457,061..460,283(-)	Ankyrin repeats (3 copies)/Zinc finger, C3HC4 type (RING finger), putative	protein coding	Tb927.2.2360	
Tb927.2.2370	Tb927_02_v5.1:460,464..465,255(-)	Vps51/Vps67, putative	protein coding	Tb927.2.2370	
Tb927.2.2380	Tb927_02_v5.1:465,485..468,565(-)	glycosyltransferase (GlcNAc), putative	protein coding	Tb927.2.2380	
Tb927.2.2390	Tb927_02_v5.1:468,713..469,912(-)	hypothetical protein, conserved	protein coding	Tb927.2.2390	
Tb927.2.2400	Tb927_02_v5.1:471,226..473,541(-)	glycosyltransferase (GlcNAc), putative	protein coding	Tb927.2.2400	
Tb927.2.2410	Tb927_02_v5.1:473,664..475,973(-)	hypothetical protein, conserved	protein coding	Tb927.2.2410	
Tb927.2.2430	Tb927_02_v5.1:476,246..479,747(-)	casein kinase II, alpha chain	protein coding	Tb927.2.2430	
Tb927.2.2440	Tb927_02_v5.1:480,317..482,378(-)	proteasome regulatory non-ATPase subunit 6	protein coding	Tb927.2.2440	
Tb927.2.2450	Tb927_02_v5.1:482,753..484,353(-)	ribosomal RNA methyltransferase, putative	protein coding	Tb927.2.2450	
Tb927.2.2460	Tb927_02_v5.1:484,516..487,095(-)	ubiquitin-conjugating enzyme E2, putative	protein coding	Tb927.2.2460	
Tb927.2.2470	Tb927_02_v5.1:487,442..489,761(-)	Kinetoplastid RNA editing protein 1	protein coding	Tb927.2.2470	
Tb927.2.2490	Tb927_02_v5.1:490,811..492,015(-)	hypothetical protein	protein coding	Tb927.2.2490	
Tb927.2.2500	Tb927_02_v5.1:492,151..493,687(-)	hypothetical protein, conserved	protein coding	Tb927.2.2500	
Tb927.2.2510	Tb927_02_v5.1:494,285..495,137(-)	Mitochondrial outer membrane protein porin 1	protein coding	Tb927.2.2510	
Tb927.2.2530	Tb927_02_v5.1:497,417..500,286(-)	hypothetical protein, conserved	protein coding	Tb927.2.2530	
Tb927.2.2540	Tb927_02_v5.1:500,416..501,338(-)	Ribosome biogenesis protein SLX9, putative	protein coding	Tb927.2.2540	
Tb927.2.2550	Tb927_02_v5.1:501,565..503,608(-)	hypothetical protein, conserved	protein coding	Tb927.2.2550	
Tb927.2.2570	Tb927_02_v5.1:504,177..504,900(-)	hypothetical protein, conserved	protein coding	Tb927.2.2570	
Tb927.2.2580	Tb927_02_v5.1:506,021..510,672(-)	hypothetical protein, conserved	protein coding	Tb927.2.2580	
Tb927.2.2590	Tb927_02_v5.1:510,809..511,483(-)	hypothetical protein, conserved	protein coding	Tb927.2.2590	
Tb927.2.2650	Tb927_02_v5.1:519,546..530,766(+)	hypothetical protein, conserved	protein coding	Tb927.2.2650	
Tb927.2.2720	Tb927_02_v5.1:533,217..540,087(+)	STE/STE7 protein kinase, putative	protein coding	Tb927.2.2720	
Tb927.2.2770	Tb927_02_v5.1:541,129..542,691(+)	hypothetical protein, conserved	protein coding	Tb927.2.2770	
Tb927.2.2830	Tb927_02_v5.1:546,092..548,126(+)	hypothetical protein, conserved	protein coding	Tb927.2.2830	
Tb927.2.2860	Tb927_02_v5.1:548,540..549,931(+)	hypothetical protein, conserved	protein coding	Tb927.2.2860	
Tb927.2.2880	Tb927_02_v5.1:550,364..553,711(+)	TPR repeat/Tetratricopeptide repeat, putative	protein coding	Tb927.2.2880	
Tb927.2.2900	Tb927_02_v5.1:554,078..554,648(+)	ARP2/3 complex subunit, putative	protein coding	Tb927.2.2900	
Tb927.2.2910	Tb927_02_v5.1:554,814..556,637(+)	hypothetical protein, conserved	protein coding	Tb927.2.2910	
Tb927.2.2920	Tb927_02_v5.1:556,458..558,328(+)	UAA transporter family, putative	protein coding	Tb927.2.2920	
Tb927.2.2940	Tb927_02_v5.1:559,564..560,692(+)	MICOS complex subunit 32	protein coding	Tb927.2.2940	
Tb927.2.2950	Tb927_02_v5.1:560,866..564,116(+)	Nop14-like family, putative	protein coding	Tb927.2.2950	
Tb927.2.2970	Tb927_02_v5.1:564,271..565,248(+)	mitochondrial carrier protein	protein coding	Tb927.2.2970	
Tb927.2.2990	Tb927_02_v5.1:567,494..569,217(+)	hypothetical protein, conserved	protein coding	Tb927.2.2990	
Tb927.2.3000	Tb927_02_v5.1:569,416..570,967(+)	hypothetical protein, conserved	protein coding	Tb927.2.3000	
Tb927.2.3020	Tb927_02_v5.1:571,123..574,339(+)	Component of motile flagella 76	protein coding	Tb927.2.3020	
Tb927.2.3030	Tb927_02_v5.1:574,822..577,457(+)	ATP-dependent Clp protease subunit, heat shock protein 78 (HSP78), putative	protein coding	Tb927.2.3030	
Tb927.2.3080	Tb927_02_v5.1:579,130..580,593(+)	cytochrome b5-dependent oleate desaturase	protein coding	Tb927.2.3080	
Tb927.2.3090	Tb927_02_v5.1:580,873..584,142(+)	hypothetical protein, conserved	protein coding	Tb927.2.3090	
Tb927.2.3160	Tb927_02_v5.1:585,537..587,270(+)	Gar1/Naf1 RNA binding region, putative	protein coding	Tb927.2.3160	
Tb927.2.3180	Tb927_02_v5.1:587,669..590,852(+)	kinetoplast polyadenylation/uridylation factor 1	protein coding	Tb927.2.3180	
Tb927.2.3190	Tb927_02_v5.1:591,003..592,956(+)	Got1/Sft2-like family, putative	protein coding	Tb927.2.3190	
Tb927.2.3370	Tb927_02_v5.1:622,568..624,818(-)	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative	protein coding	Tb927.2.3370	
Tb927.2.3390	Tb927_02_v5.1:625,038..628,664(-)	hypothetical protein, conserved	protein coding	Tb927.2.3390	
Tb927.2.3400	Tb927_02_v5.1:628,937..629,985(-)	hypothetical protein, conserved	protein coding	Tb927.2.3400	
Tb927.2.3420	Tb927_02_v5.1:630,394..630,879(-)	hypothetical protein, conserved	protein coding	Tb927.2.3420	
Tb927.2.3480	Tb927_02_v5.1:634,955..636,776(-)	transcription elongation factor s-II, putative	protein coding	Tb927.2.3480	
Tb927.2.3580	Tb927_02_v5.1:641,498..643,236(-)	transcription elongation factor s-II, putative	protein coding	Tb927.2.3580	
Tb927.2.3610	Tb927_02_v5.1:644,802..645,660(-)	Mitochondrial ATP synthase subunit, putative	protein coding	Tb927.2.3610	
Tb927.2.3620	Tb927_02_v5.1:646,502..649,139(-)	GTP-binding elongation factor Tu family, putative	protein coding	Tb927.2.3620	
Tb927.2.3660	Tb927_02_v5.1:650,279..661,575(-)	paraflagellar rod component, putative	protein coding	Tb927.2.3660	
Tb927.2.3720	Tb927_02_v5.1:662,243..665,976(-)	ubiquitin-conjugating enzyme, putative	protein coding	Tb927.2.3720	
Tb927.2.3730	Tb927_02_v5.1:666,265..669,012(-)	hypothetical protein, conserved	protein coding	Tb927.2.3730	
Tb927.2.3750	Tb927_02_v5.1:669,122..671,861(-)	Domain of unknown function (DUF4520), putative	protein coding	Tb927.2.3750	
Tb927.2.3780	Tb927_02_v5.1:672,844..676,359(-)	translation initiation factor IF-2, putative	protein coding	Tb927.2.3780	
Tb927.2.3800	Tb927_02_v5.1:675,970..679,126(-)	guide RNA associated protein 1	protein coding	Tb927.2.3800	
Tb927.2.3880	Tb927_02_v5.1:686,755..690,640(-)	heterogeneous nuclear ribonucleoproteins F/H homologue	protein coding	Tb927.2.3880	
Tb927.2.3910	Tb927_02_v5.1:689,675..692,832(-)	beta-ketoacyl-ACP synthase	protein coding	Tb927.2.3910	
Tb927.2.3920	Tb927_02_v5.1:692,944..693,881(-)	Complex 1 protein (LYR family), putative	protein coding	Tb927.2.3920	
Tb927.2.3930	Tb927_02_v5.1:694,009..697,251(-)	dna replication licensing factor mcm3	protein coding	Tb927.2.3930	
Tb927.2.3960	Tb927_02_v5.1:697,392..698,288(-)	chaperone protein DnaJ, putative	protein coding	Tb927.2.3960	
Tb927.2.3970	Tb927_02_v5.1:698,565..699,915(-)	hypothetical protein, conserved	protein coding	Tb927.2.3970	
Tb927.2.3990	Tb927_02_v5.1:700,707..704,078(-)	GRIP-related Arf-binding domain containing protein, putative	protein coding	Tb927.2.3990	
Tb927.2.4000	Tb927_02_v5.1:704,235..707,234(-)	hypothetical protein, conserved	protein coding	Tb927.2.4000	
Tb927.2.4020	Tb927_02_v5.1:707,344..709,608(-)	NEDD8-activating enzyme E1 regulatory subunit, putative	protein coding	Tb927.2.4020	
Tb927.2.4060	Tb927_02_v5.1:715,419..718,164(-)	Dynein intermediate chain 138	protein coding	Tb927.2.4060	
Tb927.2.4090	Tb927_02_v5.1:718,375..719,837(-)	signal recognition particle receptor beta subunit, putative	protein coding	Tb927.2.4090	
Tb927.2.4110	Tb927_02_v5.1:720,227..721,860(-)	Mitochondrial-processing peptidase subunit alpha	protein coding	Tb927.2.4110	
Tb927.2.4130	Tb927_02_v5.1:721,757..724,995(-)	enoyl-CoA hydratase/Enoyl-CoA isomerase/3-hydroxyacyl-CoA dehydrogenase, putative	protein coding	Tb927.2.4130	
Tb927.2.4140	Tb927_02_v5.1:725,110..728,615(-)	hypothetical protein, conserved	protein coding	Tb927.2.4140	
Tb927.2.4150	Tb927_02_v5.1:728,742..730,138(-)	hypothetical protein, conserved	protein coding	Tb927.2.4150	
Tb927.2.4160	Tb927_02_v5.1:730,705..733,487(-)	hypothetical protein, conserved	protein coding	Tb927.2.4160	
Tb927.2.4200	Tb927_02_v5.1:736,855..740,194(-)	CMGC/CLK family protein kinase, putative	protein coding	Tb927.2.4200	
Tb927.2.4210	Tb927_02_v5.1:740,656..742,863(-)	Phosphoenolpyruvate carboxykinase [ATP], glycosomal	protein coding	Tb927.2.4210	
Tb927.2.4240	Tb927_02_v5.1:754,947..757,212(-)	GTP binding protein, putative	protein coding	Tb927.2.4240	
Tb927.2.4280	Tb927_02_v5.1:759,933..763,493(-)	kinetoplastid-specific dual specificity phosphatase, putative	protein coding	Tb927.2.4280	
Tb927.2.4330	Tb927_02_v5.1:765,111..767,567(-)	paraflagellar rod protein 5, putative	protein coding	Tb927.2.4330	
Tb927.2.4340	Tb927_02_v5.1:767,808..769,258(-)	hypothetical protein, conserved	protein coding	Tb927.2.4340	
Tb927.2.4370	Tb927_02_v5.1:769,607..772,983(-)	trypanothione synthetase	protein coding	Tb927.2.4370	
Tb927.2.4380	Tb927_02_v5.1:773,373..774,663(-)	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit, putative	protein coding	Tb927.2.4380	
Tb927.2.4390	Tb927_02_v5.1:775,098..777,449(-)	double-strand break repair protein MRE11	protein coding	Tb927.2.4390	
Tb927.2.4400	Tb927_02_v5.1:777,760..782,008(-)	SSU ribosomal protein, mitochondrial, putative	protein coding	Tb927.2.4400	
Tb927.2.4410	Tb927_02_v5.1:782,129..784,409(-)	Eukaryotic protein of unknown function (DUF846), putative	protein coding	Tb927.2.4410	
Tb927.2.4420	Tb927_02_v5.1:784,574..786,293(-)	MIZ/SP-RING zinc finger, putative	protein coding	Tb927.2.4420	
Tb927.2.4445	Tb927_02_v5.1:787,612..788,207(-)	hypothetical protein, conserved	protein coding	Tb927.2.4445	
Tb927.2.4460	Tb927_02_v5.1:788,919..790,843(-)	Kinetoplast ribosomal PPR-repeat containing protein 21	protein coding	Tb927.2.4460	
Tb927.2.4470	Tb927_02_v5.1:790,963..793,879(-)	hypothetical protein, conserved	protein coding	Tb927.2.4470	
Tb927.2.4480	Tb927_02_v5.1:794,009..795,795(-)	hypothetical protein, conserved	protein coding	Tb927.2.4480	
Tb927.2.4510	Tb927_02_v5.1:795,917..800,576(-)	cdc2-related kinase 9	protein coding	Tb927.2.4510	
Tb927.2.4520	Tb927_02_v5.1:801,493..805,267(-)	hypothetical protein, conserved	protein coding	Tb927.2.4520	
Tb927.2.4530	Tb927_02_v5.1:806,089..806,849(-)	hypothetical protein, conserved	protein coding	Tb927.2.4530	
Tb927.2.4540	Tb927_02_v5.1:807,076..808,145(-)	Small nuclear ribonucleoprotein-associated protein B (snRNP-B) (Sm protein B) (Sm-B) (SmB), putative	protein coding	Tb927.2.4540	
Tb927.2.4550	Tb927_02_v5.1:808,398..811,509(-)	2'-O-ribose RNA methyltransferase SPB1 homolog	protein coding	Tb927.2.4550	
Tb927.2.4560	Tb927_02_v5.1:812,051..814,041(-)	Rab-GTPase-TBC domain containing protein, putative	protein coding	Tb927.2.4560	
Tb927.2.4580	Tb927_02_v5.1:814,260..816,446(-)	UNC119	protein coding	Tb927.2.4580	
Tb927.2.4590	Tb927_02_v5.1:817,282..819,499(-)	branched-chain amino acid aminotransferase, putative	protein coding	Tb927.2.4590	
Tb927.2.4620	Tb927_02_v5.1:821,456..822,860(-)	Transmembrane adaptor Erv26, putative	protein coding	Tb927.2.4620	
Tb927.2.4650	Tb927_02_v5.1:823,239..824,300(-)	hypothetical protein, conserved	protein coding	Tb927.2.4650	
Tb927.2.4670	Tb927_02_v5.1:825,324..827,070(-)	hypothetical protein, conserved	protein coding	Tb927.2.4670	
Tb927.2.4680	Tb927_02_v5.1:827,867..829,166(-)	hypothetical protein, conserved	protein coding	Tb927.2.4680	
Tb927.2.4700	Tb927_02_v5.1:829,289..832,048(-)	succinate dehydrogenase subunit	protein coding	Tb927.2.4700	
Tb927.2.4710	Tb927_02_v5.1:832,806..835,963(-)	RNA-binding protein, putative	protein coding	Tb927.2.4710	
Tb927.2.4720	Tb927_02_v5.1:835,653..840,425(-)	dolichyl-P-Man:GDP-Man7GlcNAc2-PP-dolichyl alpha-1,6-mannosyltransferase, putative	protein coding	Tb927.2.4720	
Tb927.2.4740	Tb927_02_v5.1:840,842..841,918(-)	mitochondrial ribosomal protein l11	protein coding	Tb927.2.4740	
Tb927.2.4750	Tb927_02_v5.1:842,055..844,104(-)	hypothetical protein, conserved	protein coding	Tb927.2.4750	
Tb927.2.4780	Tb927_02_v5.1:846,146..850,240(-)	hypothetical protein, conserved	protein coding	Tb927.2.4780	
Tb927.2.4800	Tb927_02_v5.1:850,985..852,274(-)	hypothetical protein, conserved	protein coding	Tb927.2.4800	
Tb927.2.4810	Tb927_02_v5.1:852,596..857,212(-)	Component of motile flagella 5	protein coding	Tb927.2.4810	
Tb927.2.4830	Tb927_02_v5.1:857,351..859,362(-)	TFIIF-stimulated CTD phosphatase, putative	protein coding	Tb927.2.4830	
Tb927.2.4840	Tb927_02_v5.1:859,870..860,567(-)	Vitamin K epoxide reductase family, putative	protein coding	Tb927.2.4840	
Tb927.2.4850	Tb927_02_v5.1:860,727..862,306(-)	Phosducin, putative	protein coding	Tb927.2.4850	
Tb927.2.4870	Tb927_02_v5.1:862,606..863,607(-)	kinetoplastid-specific dual specificity phosphatase, putative	protein coding	Tb927.2.4870	
Tb927.2.4930	Tb927_02_v5.1:870,284..871,917(-)	esterase, putative	protein coding	Tb927.2.4930	
Tb927.2.4950	Tb927_02_v5.1:872,188..876,514(-)	hypothetical protein, conserved	protein coding	Tb927.2.4950	
Tb927.2.4970	Tb927_02_v5.1:877,244..879,167(-)	UV radiation resistance protein and autophagy-related subunit 14, putative	protein coding	Tb927.2.4970	
Tb927.2.4980	Tb927_02_v5.1:879,286..880,417(-)	EMG1/NEP1 methyltransferase, putative	protein coding	Tb927.2.4980	
Tb927.2.4990	Tb927_02_v5.1:880,589..883,359(-)	hypothetical protein, conserved	protein coding	Tb927.2.4990	
Tb927.2.5000	Tb927_02_v5.1:884,008..885,290(-)	hypothetical protein, conserved	protein coding	Tb927.2.5000	
Tb927.2.5010	Tb927_02_v5.1:886,019..887,523(-)	Meiotic cell cortex C-terminal pleckstrin homology, putative	protein coding	Tb927.2.5010	
Tb927.2.5020	Tb927_02_v5.1:887,723..889,999(-)	acyl-CoA oxidase, putative	protein coding	Tb927.2.5020	
Tb927.2.5030	Tb927_02_v5.1:890,132..892,562(-)	transcription elongation factor SPT5, putative	protein coding	Tb927.2.5030	
Tb927.2.5040	Tb927_02_v5.1:892,686..893,563(-)	MORN repeat, putative	protein coding	Tb927.2.5040	
Tb927.2.5050	Tb927_02_v5.1:893,699..895,060(-)	protein phosphatase 2C, putative	protein coding	Tb927.2.5050	
Tb927.2.5060	Tb927_02_v5.1:895,261..896,489(-)	GTP binding protein, putative	protein coding	Tb927.2.5060	
Tb927.2.5070	Tb927_02_v5.1:896,595..897,215(-)	hypothetical protein, conserved	protein coding	Tb927.2.5070	
Tb927.2.5080	Tb927_02_v5.1:897,328..898,837(-)	hypothetical protein, conserved	protein coding	Tb927.2.5080	
Tb927.2.5120	Tb927_02_v5.1:905,632..906,444(+)	Vesicle-associated membrane protein 7	protein coding	Tb927.2.5120	
Tb927.2.5130	Tb927_02_v5.1:906,553..907,778(+)	hypothetical protein, conserved	protein coding	Tb927.2.5130	
Tb927.2.5140	Tb927_02_v5.1:907,929..908,640(+)	hypothetical protein, conserved	protein coding	Tb927.2.5140	
Tb927.2.5150	Tb927_02_v5.1:909,140..910,654(+)	TPR-repeat protein, putative	protein coding	Tb927.2.5150	
Tb927.2.5160	Tb927_02_v5.1:910,849..912,056(+)	chaperone protein DnaJ, putative	protein coding	Tb927.2.5160	
Tb927.2.5180	Tb927_02_v5.1:912,543..913,708(+)	aldo-keto reductase, putative	protein coding	Tb927.2.5180	
Tb927.2.5190	Tb927_02_v5.1:913,840..914,820(+)	Homologous-pairing protein 2 homolog	protein coding	Tb927.2.5190	
Tb927.2.5200	Tb927_02_v5.1:914,914..917,250(+)	hypothetical protein, conserved	protein coding	Tb927.2.5200	
Tb927.2.5210	Tb927_02_v5.1:917,429..918,184(+)	beta-ketoacyl-ACP reductase	protein coding	Tb927.2.5210	
Tb927.2.5220	Tb927_02_v5.1:918,410..919,496(+)	hypothetical protein, conserved	protein coding	Tb927.2.5220	
Tb927.2.5230	Tb927_02_v5.1:919,961..920,818(+)	CAMK family pseudokinase, putative	protein coding	Tb927.2.5230	
Tb927.2.5240	Tb927_02_v5.1:921,089..922,750(+)	pre-mRNA splicing factor 19	protein coding	Tb927.2.5240	
Tb927.2.5250	Tb927_02_v5.1:923,072..924,425(+)	tubulin-tyrosine ligase, putative	protein coding	Tb927.2.5250	
Tb927.2.5260	Tb927_02_v5.1:924,568..925,170(+)	hypothetical protein, conserved	protein coding	Tb927.2.5260	
Tb927.2.5270	Tb927_02_v5.1:925,381..938,171(+)	dynein heavy chain, putative	protein coding	Tb927.2.5270	
Tb927.2.5280	Tb927_02_v5.1:938,954..941,448(+)	Enriched in surface-labeled proteome protein 1	protein coding	Tb927.2.5280	
Tb927.2.5410	Tb927_02_v5.1:962,027..967,175(-)	ABC transporter family-like protein	protein coding	Tb927.2.5410	
Tb927.2.5440	Tb927_02_v5.1:967,441..971,458(-)	hypothetical protein, conserved	protein coding	Tb927.2.5440	
Tb927.2.5480	Tb927_02_v5.1:973,700..977,294(-)	hypothetical protein, conserved	protein coding	Tb927.2.5480	
Tb927.2.5500	Tb927_02_v5.1:978,941..979,806(-)	hypothetical protein, conserved	protein coding	Tb927.2.5500	
Tb927.2.5530	Tb927_02_v5.1:980,487..986,253(-)	Present in the outer mitochondrial membrane proteome 22-1	protein coding	Tb927.2.5530	
Tb927.2.5540	Tb927_02_v5.1:988,011..994,295(-)	hypothetical protein, conserved	protein coding	Tb927.2.5540	
Tb927.2.5660	Tb927_02_v5.1:1,021,550..1,022,501(+)	adenylate kinase, putative	protein coding	Tb927.2.5660	
Tb927.2.5720	Tb927_02_v5.1:1,027,579..1,031,636(+)	hypothetical protein	protein coding	Tb927.2.5720	
Tb927.2.5750	Tb927_02_v5.1:1,030,388..1,033,629(+)	tyrosyl-DNA Phosphodiesterase (Tdp1), putative	protein coding	Tb927.2.5750	
Tb927.2.5800	Tb927_02_v5.1:1,046,195..1,047,765(+)	sedoheptulose-1,7-bisphosphatase	protein coding	Tb927.2.5800	
Tb927.2.5810	Tb927_02_v5.1:1,047,922..1,053,340(+)	Holliday-junction resolvase-like of SPT6/SH2 domain containing protein, putative	protein coding	Tb927.2.5810	
Tb927.2.5820	Tb927_02_v5.1:1,053,508..1,057,287(+)	hypothetical protein, conserved	protein coding	Tb927.2.5820	
